review_id,year,season,designer,author,city,date,review,topic_number
45,2000,Spring,Ellen Tracy,Armand Limnander,New York,14-Sep-99,"There's a fresh, younger look to my collection this season, said designer Linda Allard before the Ellen Tracy show. ""Khaki pants and skirts are shorter, and we've incorporated a lot of color as well. The collection looks great with a sculpted, modern high heel and a simple gold link chain."" Other highlights included fire-engine red trenchcoats and shirts; linen knit tops; and jade, lilac and lavender jackets, wraps and tanks. Evening wear revolved around a colorful series of frosted beaded pants, slip dresses and long skirts in grape, cherry, yellow and pink.",1
152,2000,Fall,Tristan Webber,Plum Sykes,London,17-Feb-00,"Tristan Webber is London's king of leather a fabric which he contorts and reinvents with amazing style and flair. He is also a fanatically inventive tailor, whose curvaceous seaming mimics human muscle structure. Combine the two, and you have a very chic, sleek look that is now becoming a convincing signature for this designer. On the more wearable side, Webber had a slim white punched leather skirtsuit that was as edgy as it was classy; geometrically patchworked raw-shearling coats; and a sharp green leather jacket with cutout work so intricate it resembled stitching. On the creative side, Webber pulled out a stretched neon-green mesh top with mask attached; delicate green, red and white chiffon dresses and some terrifyingly tight leather frocks. Undoubtedly influenced by early Alaïa and Mugler, Webber makes the skintight vixen-look new.",0
144,2000,Fall,Cerruti,Hamish Bowles,Paris,2-Mar-00,"Peter Speliopoulos takes the Milanese route for Cerruti, with a collection that provides an elegant, low-key spin on the trends du jour. Thus, neat Duchess of Windsor coats with the look of Julianne Moore's '40s costumes in The End of the Affair are interpreted in subtly beautiful Cerruti fabrics like a black wool flecked with ruby glitter, or a pepper-and-salt tweed that catches a bordeaux-colored shadow in movement. The retro ladylike look follows through to the longer skirts with a graceful swing to them, and to the accessories, which included those all-too-familiar open-toed '40s sandals (shown with old-fashioned back-seamed stockings) and tiny fur tippets at the neck, already featured at Prada. Other quiet takes on trend items that Speliopoulos features include a herringbone black-and-white mink trench; chiffon bib blouses; the batwing sweater (with a deep bateau neck, and a fine gauge turtleneck worn underneath) and spiky feather fronding on caf? au lait and prune chiffons.",4
113,2000,Fall,Missoni,Armand Limnander,Milan,22-Feb-00,"It's a good fashion moment for Missoni. Prints and sophistication--both buzzwords for Fall are the concepts upon which this well-known Italian fashion house was founded. Missoni's ideal of visual and visible elegance came alive on the runway with considerable zeal. Capitalizing on the current branding craze, Missoni used a zigzag ""M"" pattern as an oversize, tongue-firmly-in-cheek logo. There was also an emphasis on eclectic mixing and matching: beaded trousers, Lurex knits, liquid satins and comfy tweeds all came together in an extravagant potpourri of texture and color. How to top off the rich look? With sheared-fur bomber jackets, gold tights and matching shoes and bags.",2
76,2000,Spring,Prada,Armand Limnander,Milan,27-Sep-99,"Miuccia Prada showed today what is certain to become one of the most influential and successful collections of the season. It was an exquisite show of chic and glamour, tempered by the designer's signature discretion. Burgundy shorts and sweaters, lipstick prints, polka dot shirts, leather skirts and boldly colored turtlenecks evoked a cosmopolitan panache not seen since the jet-set '70s and early '80s; some looks were accessorized with sizeable travel bags and large sunglasses. For those in search of the perfect summer robe, there were also demure, semi-transparent dresses with masterful pleats and lingerie-inspired detailing that begged for relaxed cocktails in the country. ""The ABC of fashion,"" was how Prada summed up her collection. It is precisely this knack for endowing classic, seemingly normal clothes with masterful fashion sense that keeps her empire going and the audience begging for more.",4
137,2000,Fall,Louis Vuitton,Hamish Bowles,Paris,28-Feb-00,"As decade crunching continues to move forward at breakneck speed, it is inevitable that a designer as acutely attuned to the style buzz on the streets as Marc Jacobs should pick up and run with the '80s vibe currently setting a younger generation of style-makers on fire. For luxury house Louis Vuitton, Marc Jacobs revisits Paris in the '80s, paying homage to the looks featured in publications like the so-hip-it-hurts style manual JILL , and translating them into must-have modern looks. The early Madonna moment beret, oversized sweater slouched off one shoulder and short, leather pencil skirt--was skewered and chic-ed up with luxury fabrics. Think of that sweater in corduroy-seamed sheared fur, the skirt in satin thick as leather. Early Montana and Mugler signatures were evoked in details like the decorative silver-press stud fastenings on the shoulder of a satin print T-shirt, silver cube buttons as closures on man-size jackets, curving seams on footballer-shouldered jackets and zippers diagonally splicing 7/8 coats. Jacobs' twisted palette also brought the decade flooding back endless existentialist black of course, spiked with caf? au lait, chocolate, peppermint and teal (dazzling for a crocodile trouser suit). His tortoise-shell, sequined mini dresses closing the whirlwind show were suspended from or trimmed with the fine gold chain that was also used for the adorable midget disco purse just big enough to hold that members' pass for disco hot spot Le Palace.",2
259,2001,Spring,Givenchy,Armand Limnander,Paris,11-Oct-00,"Alexander McQueen is going through a particularly good moment: After hosting an exquisite couture party for Givenchy last summer and delivering a breathtaking show for his signature line in London two weeks ago, he presented today a tempered, well-thought-out collection for Givenchy ready-to-wear.  Teddy boys, rockabilly and David Bowie were all sources of inspiration for McQueen. Skirts with massive confections of pleats, ruffles and crinolines were worn with massive corset-belts, sharp jackets and crisp short-sleeved shirts perfect for a Sunday sundae at the fashion wonderland drive-in. There were also long, mannish pinstriped overcoats, sheer shirts with gathered panel fronts and several lingerie-inspired looks. Dazzling apple-green and red- checkered coats, spectator pumps and pegged houndstooth trousers were visually arresting, but more traditional Givenchy customers will go for the chocolate suede bombers, fitted pencil skirts and tortoiseshell-print dresses.",9
202,2001,Spring,Alexandre Matthieu,Armand Limnander,Paris,13-Oct-00,"Since winning the competition at the prestigious Hyères Fashion Festival in 1999, the Parisian duo of Alexandre Morgado, 25, and Matthieu Bureau, 26, have caused quite a stir with their star-burst colors, circus characters and cartoon-like appliqu's. ""Our work references everything from beauty contests to Las Vegas games, from Hollywood starlets to Parisian cabaret,"" says Morgado. ""We bring new fashion elements to a vocabulary of clich's.""  Indeed they do. Alexandre Matthieu's sharp-shouldered blazers with bright stripes and asymmetric lapels, double-layered dresses with glamour-girl prints, and graphic snap-side tanks have already been picked up by forward-thinking boutiques such as Brown's, Colette, and Zao. Björk wore their now-famous black-and-pink striped dress to the Cannes Film Festival, generating instant media frenzy. The duo went on to receive an important grant from the French ministry of culture and, more recently, financial sponsorship from LVMH.  With only one formal collection under their belts, it already seems certain that there's a bright future ahead for Morgado and Bureau. ""We want to offer people a positive and optimistic view of fashion,"" they say. ""We design for women who believe in fairy tales.""",2
238,2001,Spring,Russell Sage,Armand Limnander,London,26-Sep-00,"Russell Sage's clothes always have a personal touch to them. Last season, the designer scoured musty flea markets and off-the-beaten-path antique shops for fabrics. This time around, Sage went skydiving in the name of fashion, using his old parachute to create many looks in his collection.  Voluminous, '50s-inspired skirts, translucent jackets with flag inlays and antique-looking prints all conveyed a feeling of dejected chic. A deconstructed upside-down jacket and a sharp, orange-piped pantsuit looked surprisingly wearable, as did a beautiful oriental-print top and several asymmetric skirts. The one truly puzzling and questionable look in the collection was a bare-back sheath with the logo for Face magazine spray-painted on the front.  The relationship between clothing and personal history is certainly an intriguing one, and it will be interesting to see how Sage continues to explore this idea.",5
308,2001,Fall,Jil Sander,Armand Limnander,Milan,3-Mar-01,"After being made to stand in a huddle for over half an hour in the freezing Milanese drizzle, frazzled editors were finally squeezed through a wall of thuggish security guards and into the Jil Sander showroom.  Unfortunately, the wait was not particularly rewarding: Without its founding designer, Jil Sander has not yet managed to find its stride. Austere overcoats, blazers and sheath dresses blended together in a parade of black; a series of sheared fur jackets, burgundy velvet blazers and billowy trousers tucked into mannish boots could not alleviate the monotony. While there were a few smart dresses and all-purpose coats in the mix, it is clear that what Jil Sander the label misses desperately is, quite simply, Jil Sander the designer.",5
208,2001,Spring,Ruffo Research,Armand Limnander,Milan,3-Oct-00,"Sophia Kokosalaki reworked some of the themes she had explored in London with her signature line, this time around focusing exclusively on leather. Her palette was light and frothy pale rose, cappuccino, blush tan. But the main strength of the collection lay in the innovative ways in which leather and suede were treated like ordinary fabric. Paneled skirts were clipped asymmetrically at the hem, resembling glued-together strips of Band-Aids; an extraordinary one-shoulder black dress was twisted into a knot and suspended by a single strap of spaghettilike leather cords. Roomy trousers were pleated along the side and cuffed, worn with a light top and held together with a sash belt. Even the shoes made a statement gathered pumps and mesh ankle boots grounded the looks.  Kokosalaki's silhouette clearly referenced the '80s, but the end result was fresh and innovative, thanks especially to the skill with which skins were manipulated.",0
271,2001,Spring,Alberta Ferretti,Armand Limnander,Milan,6-Oct-00,"The models at Alberta Ferretti never looked hurried or overly styled. They smiled sweetly as they walked the runway; the attitude at a Ferretti show is always as casual as the clothes.  Ferretti relied on small touches to give her looks personality: topstitching on practical navy coats, delicate embroidery on sheer day dresses and contrasting edging on the hems of her light skirts. Diagonal pleats, strategically placed darts and occasional ruffles gave the looks plenty of body-skimming movement. Ferretti also showed sleek, bright orange jackets, sexy wrap tops and a sensational draped dress with a knot in the front. For evening there were long caftan tunics with contrasting trims and subtle beading on the neckline.",1
595,2002,Fall,Prada,Sarah Mower,Milan,1-Mar-02,"Thank you, Miuccia Prada, for reminding us about sex. Tight skirts that show a woman's shape, high crocodile boots, see-through macs, and models that are the antithesis of innocent waifs. All these factored into a collection that sent the fashion world spinning away from its current fixation with hippie peasant clich's.  In a show that was densely layered with references to the history of fashion, Prada cut a strong, curvaceous and erotically charged line to give grown-ups a whole new reason to buy. From the moment Eva Herzigova appeared, silhouetted in a black nylon bomber jacket with fur sleeves and a black, wickedly seamed skirt, it was obvious Prada had her sights set on a new kind of adult sophistication. High-waisted tweed skirts, bomber jackets cut to show the waist, and blouses with stiff puffed sleeves signaled her belief in the power of a new, hard chic. Revisiting structured tailoring which is where she began in the '90s was only one of her ideas. She also worked in duchesse satin, gathered at the neckline to emphasize breasts, Monroe-esque silk sunray pleats, and '30s showgirl lingerie playsuits. Great oversized rubberized raincoats with inside-out seams and a black satin jockey cardigan with knit sleeves also stood out from what was a vast inventory of must-have items.  Prada referenced many of her own past collections, from her bourgeois ladylike phase to her militaristic moments and her love of vintage lingerie. But her achievement was in making something inspiringly new out of confronting a personal taboo. ""I was fed up with people saying I can't do sexy clothes!"" she stated backstage. It was said with a laugh, but the designer has done nothing less than change the fashion agenda overnight.",6
