review_id,topic_number
45,9
152,0
144,3
113,2
76,2
137,2
259,6
202,2
238,4
308,3
208,0
271,9
595,6
457,4
427,1
568,5
552,5
481,5
672,4
615,7
797,5
803,8
723,8
717,9
621,6
834,6
1011,2
885,4
1017,4
1035,5
844,5
828,4
1203,0
1230,3
1296,6
1161,8
1246,2
1212,5
1108,8
1054,9
1579,6
1415,9
1362,5
1308,1
1485,3
1475,5
1324,1
1554,4
1372,7
1400,5
1671,5
1904,7
1698,4
1764,4
1761,4
1825,2
1899,9
1957,2
1982,5
1709,8
1943,9
1974,2
2273,5
2284,9
2077,9
2285,4
2390,5
2220,2
2300,0
2397,0
2427,2
2070,9
2320,3
2073,4
2213,0
2504,4
2535,5
2635,5
2741,2
2887,6
2751,4
2681,3
2586,7
2623,2
2764,7
2532,6
2606,1
2486,5
2440,8
2630,8
3260,9
3084,5
3296,3
3057,5
3121,5
3307,1
3428,3
2996,2
3134,5
3007,2
2981,9
3300,5
3002,2
3302,9
3439,0
3404,0
3157,5
4029,9
4003,2
3717,7
3571,2
3834,7
3491,4
3793,4
4073,1
3512,9
4021,3
4107,9
3567,5
3803,8
4051,0
3684,8
4005,2
3693,0
3738,5
3815,4
3998,2
4329,5
4652,5
4833,9
4451,0
4328,8
4359,2
4817,2
4774,4
4198,5
4385,8
4204,4
4607,2
4159,5
4174,8
4620,5
4634,5
4542,4
4240,9
4756,5
4185,6
4217,4
4678,9
5482,4
5472,7
5459,5
5327,5
5183,7
5501,2
4902,5
5214,7
4903,9
5458,5
5447,5
4900,9
5366,6
5293,9
5164,6
5363,7
5530,6
5370,0
5123,5
4904,6
5081,9
5232,2
5492,4
5555,7
5701,1
6238,9
5924,9
5995,2
6159,0
6078,2
6239,5
6303,9
5842,4
5720,5
6083,9
6028,9
6056,5
6115,9
5849,4
6242,5
6352,5
5888,5
5943,9
5706,5
5700,9
6413,5
6067,3
5678,9
6446,9
5657,7
5710,8
