term,category
shirt,upperbody
blouse,upperbody
top,upperbody
t-shirt,upperbody
sweatshirt,upperbody
sweater,upperbody
cardigan,upperbody
jacket,upperbody
vest,upperbody
pants,lowerbody
shorts,lowerbody
skirt,lowerbody
coat,wholebody
dress,wholebody
jumpsuit,wholebody
cape,wholebody
glasses,head
hat,head
headband,head
head covering,head
hair accessory,head
tie,neck
glove,arms_and_hands
watch,arms_and_hands
belt,waist
leg warmer,legs_and_feet
tights,legs_and_feet
stockings,legs_and_feet
sock,legs_and_feet
shoe,legs_and_feet
bag,others
wallet,others
scarf,others
umbrella,others
hood,garment_parts
collar,garment_parts
lapel,garment_parts
epaulette,garment_parts
sleeve,garment_parts
pocket,garment_parts
neckline,garment_parts
buckle,closures
zipper,closures
applique,decorations
bead,decorations
bow,decorations
flower,decorations
fringe,decorations
ribbon,decorations
rivet,decorations
ruffle,decorations
sequin,decorations
tassel,decorations
classic,nickname
polo,nickname
undershirt,nickname
henley,nickname
ringer,nickname
raglan,nickname
rugby,nickname
sailor,nickname
crop,nickname
halter,nickname
camisole,nickname
tank,nickname
peasant,nickname
tube,nickname
tunic,nickname
smock,nickname
hoodie,nickname
blazer,nickname
pea,nickname
puffer,nickname
biker,nickname
trucker,nickname
bomber,nickname
anorak,nickname
safari,nickname
mao,nickname
nehru,nickname
norfolk,nickname
classic military,nickname
track,nickname
windbreaker,nickname
chanel,nickname
bolero,nickname
tuxedo,nickname
varsity,nickname
jeans,nickname
sweatpants,nickname
leggings,nickname
hip-huggers,nickname
cargo,nickname
culottes,nickname
capri,nickname
harem,nickname
jodhpur,nickname
peg,nickname
camo,nickname
short,nickname
booty,nickname
bermuda,nickname
trunks,nickname
boardshorts,nickname
skort,nickname
roll-up,nickname
tie-up,nickname
culotte,nickname
lounge,nickname
bloomers,nickname
tutu,nickname
kilt,nickname
wrap,nickname
skater,nickname
hobble,nickname
sheath,nickname
ball gown,nickname
gypsy,nickname
rah-rah,nickname
prairie,nickname
flamenco,nickname
accordion,nickname
sarong,nickname
tulip,nickname
dirndl,nickname
godet,nickname
blanket,nickname
parka,nickname
trench,nickname
shearling,nickname
teddy bear,nickname
duster,nickname
raincoat,nickname
kimono,nickname
robe,nickname
duffle,nickname
military,nickname
swing,nickname
chemise,nickname
slip,nickname
cheongsams,nickname
jumper,nickname
shift,nickname
sundress,nickname
kaftan,nickname
bodycon,nickname
nightgown,nickname
gown,nickname
tea,nickname
blouson,nickname
asymmetrical,silhouette
symmetrical,silhouette
peplum,silhouette
circle,silhouette
flare,silhouette
fit and flare,silhouette
trumpet,silhouette
mermaid,silhouette
balloon,silhouette
bell,silhouette
bell bottom,silhouette
bootcut,silhouette
pencil,silhouette
straight,silhouette
a-line,silhouette
tent,silhouette
baggy,silhouette
wide leg,silhouette
high low,silhouette
curved,silhouette
tight,silhouette
regular,silhouette
loose,silhouette
oversized,silhouette
empire waistline,waistline
dropped waistline,waistline
high waist,waistline
normal waist,waistline
low waist,waistline
basque,waistline
no waistline,waistline
above-the-hip,length
hip,length
micro,length
mini,length
above-the-knee,length
knee,length
below the knee,length
midi,length
maxi,length
floor,length
sleeveless,length
elbow-length,length
three quarter,length
wrist-length,length
asymmetric,nickname
chelsea,nickname
banded,nickname
mandarin,nickname
peter pan,nickname
stand-away,nickname
jabot,nickname
notched,nickname
peak,nickname
shawl,nickname
napoleon,nickname
collarless,neckline_type
crew,neckline_type
round,neckline_type
v-neck,neckline_type
surplice,neckline_type
oval,neckline_type
u-neck,neckline_type
sweetheart,neckline_type
queen anne,neckline_type
boat,neckline_type
scoop,neckline_type
square,neckline_type
plunging,neckline_type
keyhole,neckline_type
crossover,neckline_type
choker,neckline_type
high,neckline_type
turtle,neckline_type
cowl,neckline_type
straight across,neckline_type
illusion,neckline_type
off-the-shoulder,neckline_type
one shoulder,neckline_type
set-in sleeve,nickname
dropped-shoulder sleeve,nickname
cap,nickname
puff,nickname
circular flounce,nickname
poet,nickname
bishop,nickname
leg of mutton,nickname
patch,nickname
welt,nickname
kangaroo,nickname
seam,nickname
slash,nickname
flap,nickname
single breasted,opening_type
double breasted,opening_type
lace up,opening_type
wrapping,opening_type
zip-up,opening_type
fly,opening_type
chained,opening_type
buckled,opening_type
toggled,opening_type
plastic,non-textile_material_type
rubber,non-textile_material_type
metal,non-textile_material_type
feather,non-textile_material_type
gem,non-textile_material_type
bone,non-textile_material_type
ivory,non-textile_material_type
fur,non-textile_material_type
suede,leather
crocodile,leather
snakeskin,leather
wood,non-textile_material_type
burnout,textile_finishing_manufacturing_techniques
distressed,textile_finishing_manufacturing_techniques
washed,textile_finishing_manufacturing_techniques
embossed,textile_finishing_manufacturing_techniques
frayed,textile_finishing_manufacturing_techniques
printed,textile_finishing_manufacturing_techniques
ruched,textile_finishing_manufacturing_techniques
quilted,textile_finishing_manufacturing_techniques
pleat,textile_finishing_manufacturing_techniques
gathering,textile_finishing_manufacturing_techniques
smocking,textile_finishing_manufacturing_techniques
tiered,textile_finishing_manufacturing_techniques
cutout,textile_finishing_manufacturing_techniques
slit,textile_finishing_manufacturing_techniques
perforated,textile_finishing_manufacturing_techniques
lining,textile_finishing_manufacturing_techniques
plain,textile_pattern
abstract,textile_pattern
cartoon,textile_pattern
camouflage,textile_pattern
check,textile_pattern
dot,textile_pattern
fair isle,textile_pattern
floral,textile_pattern
geometric,textile_pattern
paisley,textile_pattern
stripe,textile_pattern
houndstooth,textile_pattern
herringbone,textile_pattern
chevron,textile_pattern
argyle,textile_pattern
leopard,animal
cheetah,animal
peacock,animal
zebra,animal
giraffe,animal
toile de jouy,textile_pattern
plant,textile_pattern
