year,season,designer,author,city,date,review
2000,Spring,Matt Nye,Armand Limnander,New York,17-Sep-99,"Designer Matt Nye's sophomore show featured a coed collection centered around navy sailor pants, fitted jackets and simple cotton polo shirts. The theme seemed to be a cross between sophisticated urban staples and relaxed resort wear: There were waterproof ponchos, drawstring paratrooper pants, nautical tees, and boat-neck pullovers. Levi's 501s and Converse sneakers added a classically retro touch to the overall look."
2000,Spring,Giorgio Armani,Armand Limnander,Milan,29-Sep-99,"Armani proposed a light, feminine silhouette for the new millennium, inspired by the lines and colors of Kandinsky. Sea foam, fuchsia, and lime chiffon infused his collection with a delicate dreaminess. But the Armani woman is as practical as she is ethereal, so there were also plenty of pinstriped wool pants, polished linens, and classic tops. The real innovation came in how models wore the pieces: short jackets were shown with low-waisted pants cropped at the ankle, sarongs were overlapped or doubled and floral dresses were paired with tie-dyed cashmere. Armani's explanation: ""The real woman of 2000 does not want to be hostage to the rules of fashion. She wants the freedom to create her own look with passion and a sense of self-fulfillment."" Enough said."
2000,Spring,Eric Bergère,Armand Limnander,Paris,4-Oct-99,"Broadway Garnier was the theme for Eric Berg're's collection of tailleurs, flowing skirts with pleats, knit sweaters and ruched shirts. The intent may have been theatrical, but the result was '80s-inspired. There was an assortment of frayed denim pieces, shiny paisley shirts with long scarves, cocktail slips, and fringed bandeau tops. It seems as though Berg're, who is noted for the polish and sophistication of his work, was exploring new directions this season."
2000,Spring,Céline,Armand Limnander,Paris,7-Oct-99,"Getaway glamour was the theme for Celine's striking presentation: Jennifer Lopez meets Jackie O. in St. Tropez, of course, for fun in the sun. Duran Duran blared on the speakers as Michael Kors sent out a procession of hand-bleached silk denim ensembles--a new and luxurious take on acid wash, that reliable '80s favorite, this time around with matching oversized travel bags. Dresses and tops in suede and jersey followed. The fabrics were as light and easy to wear as the colors Kors favored: watercolor blue, pale turquoise and bright chartreuse. Kors' penchant for easy luxury extended to the glove-leather vests, chrome-studded cashmere T-shirts, and crystal-encrusted sarongs--which would work equally well on the beach or as evening wear by a bonfire. The accessories were no less striking: clear Lucite bracelets, stiletto mules and, of course, logo-emblazoned totes. It was an accomplished, playful collection punctuated by Kors' trademark simplicity of design and the richness of the fabrics he employed."
2000,Spring,Byblos,Armand Limnander,Milan,27-Sep-99,"Judo Jetson blends my favorite cartoon character with spiritual Japanese influences, said John Bartlett about the opening part of his Byblos show, which featured white and black linen jackets with tie waistbands, sharply tailored capri pants and asymmetrical skirts. The clean, almost clinical looks eventually gave way to an array of satin pieces with geometric designs in shades of turquoise, pink and pale blue, often paired with crisp gray pants and jackets. Bartlett's inspiration? ""The second part of the collection was all about Jackie O. on acid,"" he explained. Of course who wouldn'ave guessed it?"
2000,Spring,Bottega Veneta,Armand Limnander,New York,13-Sep-99,"Bottega Veneta showed a line of simple, easygoing separates, including shimmery coral tops, ecru leather pantsuits and beaded cardigans. But in keeping with the luxury leather house's roots, the true stars of the show were their signature handbags, which came down the runway with nearly every outfit. There were oversized carry-alls, simple clutches, and large, square hard cases in sophisticated taupe as well as spring's essential colors: lime green and pink."
2000,Spring,Thimister,Armand Limnander,Paris,3-Oct-99,"Josephus Thimister's work is striking for its simplicity. Few designers today have the talent or the desire to reconfigure traditional notions of acceptable dressing, mix rich materials with pedestrian ones to create hard, striking pieces, and then use them to propose an aesthetic that's undeniably beautiful. Thimister's austere collection featured simple white trenches, dresses and skirts, many with burnt hems; there were rich knit sweaters in brown and aqua, crinkly leather ensembles and shiny black suits. But perhaps most important of all, there was no unnecessary ornamentation just well-constructed, defiantly modern clothes based on strong creative power. And one good idea is worth more than a thousand misplaced paillettes."
2000,Spring,Rebecca Danenberg,Armand Limnander,New York,15-Sep-99,"My collection is based on clean, nude fabrics and knits, said Rebecca Danenberg before her show. Danenberg's vision was clearly a sexy one, hailing back to the decadent disco days: There were filmy, mosaic-printed chiffon tops, flesh-colored leather strapless dresses, liquid tunics with silver chain belts and powder-blue ruffled dresses. With the exception of the leather pieces, shine dominated the runway, with fabrics that shimmered with every step the models took. These were not clothes for the faint of heart."
2000,Spring,Jill Stuart,Armand Limnander,New York,16-Sep-99,"Jill Stuart is known for translating the trends for her youthful clientele, making fashion fun and wearable. And her Spring 2000 collection was no exception: Comfortable, frilly tees were worn over jeans with heart-shaped pockets and embroidered detailing. There were also funky white leather bomber jackets, candy-pink camisoles and mint micro-shorts. For evening, Stuart showed pretty pastel column gowns with strappy high-heeled thong sandals that added a sexy footnote."
2000,Spring,Loewe,Armand Limnander,Paris,8-Oct-99,"White was the overwhelmingly dominant color at Loewe, with sporadic splashes of tan, sapphire, and yellow. Buttery leathers and suedes gave an opulent edge to form-fitting jeans, sexy jumpsuits and beaded overcoats. There were also delicate shift dresses, practical vests with zippers and python ensembles. For evening, Narciso Rodriguez showed a series of suede and leather dresses encrusted with glittering crystals. Overall, it was an unencumbered, consistent collection that did not forget Loewe's tradition of simple and luxurious chic."
