review_id,review
3600,"Nicole and Michael Colovos had twin boys over the summer, but they had a different baby to show off at their Helmut Lang presentation: a new bag collection. The fresh arrivals washed and weathered leather envelope clutches, top-handle day bags, and oblong evening sacks on long leather straps have much in common with the duo's clothes, i.e. they're studiously constructed to appear absolutely effortless. The best part: They don't look like anyone else's wares. As for the Spring collection, the husband-and-wife team's thinking was in line with other designers this week: fresh, airy, and light. Whites, taupes, and nudes for the most part replaced black; natural, organic textures dominated; and the overall silhouette was looser, more relaxed. A great-looking silk crepe jacket with a chiffon lapel, for instance, came unlined, which means it'll be as easy to slouch on as your favorite cardigan, but a heck of a lot more sexy."
3601,"Rodolfo Paglialunga isn't an L.B.D. kind of guy. Little by little, he's been turning Vionnet into a reliable source for special dresses, the kind that make fans among the young Hollywood crowd. For Spring, that something special comes in the form of all sorts of hardware, including resin chain belts through which the top and bottom of his halter dresses have been woven together. The cuffs and collar of a short silk shirtdress were studded in gold mesh; other dresses came suspended from gold necklaces or, more peculiarly but no less charmingly, colorful climbing rope. The real feat was how light everything felt. It helped that Paglialunga, inspired by Art Deco, stuck to a graphic, mostly black and white palette; he also kept the silhouette, reminiscent of flapper dresses, simple and unstructured. The other appealing aspect of this presentation: The designer moved his focus beyond the red carpet to real-life occasions. One note, though: With those integral belts and necklace necklines, these dresses will be next to impossible to have dry-cleaned. Careful with the red wine."
3602,"Is that part of the skirt?  ""Well, it's a dress here, and the apron goes on top. So it's, like, is it one piece? Two pieces? Three pieces? The apron really abstracts the negative space and changes the silhouette."" That's a brief excerpt from a preview conversation last week with Phillip Lim, in which he explained his puzzle-piece concept: Backless, side-less, and bottomless garments all somehow came together to form a full look. It was certainly an ambitious gambit, not easy to pull off, but it made for one of the best and most refined 3.1 collections to date.  The most important thing Lim did right was to not stray from the very familiar ground of clean sportswear, and to keep the palette neutral. He also developed his idea of spatial abstraction by playing with sheers, resulting in some of the best experiments with the trend we've seen this week. The backs of leather-paillette-covered T-shirts were done in see-through organza; nude tulle shifts were embroidered with five varieties of black lace; and the trench was given a chic new spin in translucent organza, edged in black and covered in little bobbing threads.  There was definitely a greater sense of luxury, particularly in the beautiful silk menswear tailoring. (Perhaps those looks betrayed his admiration for the tailoring on last season's Paris runways. Or perhaps we're seeing the influence of Nancy Rohde, the stylist and Dries Van Noten consultant who worked on the collection and was Lim's first-ever show stylist.) Another thing Lim has going for him, of course, is that he will always offer the nicer price, and that should propel the bags and shoes that debuted here today into the retail stratosphere."
3603,"The concentration of thought in a Hussein Chalayan collection is such that it compels fixation on details. In today's presentation, for instance, the black patent insert on a crepe satin dress was intended to duplicate the sheen of lacquer in the dark. It was one facet of a collection that Chalayan called ""an abstract take on Japan."" Nothing literal, thank you, but more notions, such as the Japanese fetishization of packaging reenvisioned by the designer as diagonals of broderie anglaise wrapping the body like a gift. All this was showcased in a film he directed. (""Much more work than a show,"" Chalayan said.) It was called Sakoku , a reference to Japan's deliberate policy of cultural isolation, which prevailed until the mid-nineteenth century, but as arcane as that framework may sound, it scarcely compromised clothes that embodied the designer's now-signature blend of intellectual rigor and appeal to the senses. You could see that, for instance, in the cotton voile dresses that burst out from under tailored waistcoats, or the pieces in a poplin so white it was practically clinical and that shimmered with inserts of translucent mesh. Chalayan has an extraordinary legacy of his own work to draw on, so there were revisitings of old ideas. The distinctive curved shoulders were drawn from a 1998 collection. The color-blocking was also something he's done before, though its manifestation here in combinations like pink, olive green, and black was particularly striking. Chalayan's personal pick from the collection was a pink dress whose minimalism highlighted his technical proficiency (whereas a lot of details, he insisted, make it easier to hide mistakes). The fact that this dress was a sensuous complement to the female form was, of course, an added bonus. And it made one anticipate much more of the same from one of fashion's most radically underappreciated artists."
3604,"Every morning, Jeremy Laing wakes to flags waving at him from the office building across the street, and the sight of so much fluttering fabric sparked Spring's design process. Laing isn't much for flutter, per se; he prefers sharp lines, geometric figures, and a stark palette, and this collection combined an air of flaglike loftiness with his signature angularity. Digital prints have been a focus for the past few seasons, but there were no prints today, save for one of a rose. (The image had a sentimental pull: It was based on a flower Laing laid on his grandmother's coffin earlier this year.) In lieu of edgy graphics, he created interest through texture and draping. Many of the pieces could not only be worn in multiple ways but would look quite different depending on the wearer. It was an accomplished, sexy outing. The prints weren't missed. Chain-link linen lace could have been mistaken for twisted copper, but it crinkled in your hand. A long skirt in the stuff was layered over a sleek bodysuit for a refreshing take on the sheer trend, and a finer version in black net was pieced alongside fluid satin in body-clinging, paneled dresses. A few dresses and skirts doubled back on themselves at the hem one long rectangle of fabric tunneling back up to the shoulder. It could have been gimmicky, but it was subtly done. Another possible sticking point were the ""trapped"" dresses, as Laing named them in the liner notes. Shimmering, one-sleeved goddess dresses were contained below the waist by separate, small leather minis really too small to be skirts in their own right. The curvier among us might not want to chance it, but it worked on the runway: underwear-as-outerwear meets the layering trend. A viscose jersey dress in black with one long, draped arm and a slit up the side didn't have a single extra, but it swooped and clung in all the right places."
3605,"Tenth anniversary gifts are traditionally metal of some kind, so there was a sound basis for Alice Temperley armoring up to mark her label's first decade in business. At the same time, she was drawn to Guinevere and Arthur, one of the most durable romantic myths we've got and Temperley is nothing if not a romantic at heart. As a reminder of that, there was a sweet white sundress, the kind that first drew the world's attention to her. Otherwise, though, she opted for the harder edge of pewter, bronze, and dull gold, literally reflected in the broken mirrors that formed the floor of her presentation. Temperley's Guinevere was no floaty wing piece for Lancelot. Instead, she wore a hood of gold mesh, like chain mail, or a mesh tank topped by a cardigan studded with metal beads, or a sweater dress with an angry big cat coiling around it. And even a sweeter piece like the gold plissé shift dress brought to mind Diana the Huntress. Many of the 30 looks were accessorized with harnesses. According to the designer, they were for medieval effect, but they also injected a modern fetishistic note that seemed in tune with Temperley's new toughness."
3606,"First came Miuccia's bananas, then Stella's lemons. Today, Wolfgang Joop had cherries. So, what is it with fruit this season? If nothing else, it's safe to say that these are all designers whose senses of humor are fully intact. In Joop's case, that also came across in the models' kooky striped body stockings and their exaggeratedly high platform wedges. Apparently, the designer was inspired by a Portuguese garden, so in addition to those cherries, he had the most exuberantly colorful floral prints of the season, and that's saying something (see Jil Sander; Akris). They appeared on crinolined baby-doll dresses, over which Joop layered jackets haphazardly topstitched with contrasting thread. That detail almost looked like sutures. As the show progressed, he spliced his prints into the shoulder seams of one blazer and along the rear seams of another. By the end, the backs of jackets consisted of crisscrossing strips of pinstripes, khaki, and patterned chiffon. Joop's message seemed to be about the irrepressibility of nature. A little too irrepressible, in fact, as it appeared on his runway. His tailoring was as impeccable as it was imaginative, but it would take some serious pruning to make most of the looks in this show ready for real life."
3607,"Not everyone wants to wear leather, tulle, and knit, said  Graeme Armour , explaining the much lighter turn he took for Spring. That sounds like a line straight from a retailer's mouth, and Armour is wisely heeding a buyer's perspective as he focuses the energies of his young label on sales. That's not to say that this three-year Alexander McQueen alum wasn't also focused on ideas in his second New York collection, which, he explained, took its cues from sixties Balenciaga and Courrèges. Armour has long been fascinated by clothes that are a sort of facade, different from front to back, and he explored that theme here. The notion of a butcher's apron was turned into a dress that looked like a midi-length sixties shift coming but revealed a short black skirt and crisscross halter going. That's the piece for a photo shoot, but in terms of those coveted sales, the front-back concept found more success in a pair of black satin shorts. They appeared plain from the back but in front were covered with flat razored ruffles, helping them pass as a skirt. The proceedings weren't entirely leather-free. Armour's take on motorcycle chic a cropped suede jacket and a black leather skirt, both paired with crisp white shirts immediately drew the eye. It would have the same effect on a retailer's rack. Expect to see this designer popping up there by and by."
3608,"Speaking via phone the day before showing his collection, Jason Wu hinted that ""Spring is more dangerous."" That was a surprising statement, and perhaps one that shouldn't be taken literally from a designer whose trump card is his retail savvy; on a selling trip to Paris in July, he added 30 new stores to a roster that already boasted 120 not a bad tally at all for a brand that's just four years old. Equally impressive: Today's show was the official launch of his full range of accessories shoes, bags, and optical. Continuing the push into tailoring that he began for Fall, Wu opened the show with a sleeveless bow-front top tucked into a pair of high-waisted pants. Smartly cut lean trousers made appearances in several different colors and were paired with ladylike blouses or neat striped knits. Jackets, too, were elongated, a couple just substantial enough to function as dresses. His black anorak looked like satin, but was actually techno twill. You could toss it over an evening gown and not worry if you found yourself in a downpour. The danger, and we're speaking relatively here, came in the form of amped-up colors and mixed prints inspired by the work of the Brazilian artist Beatriz Milhazes, plus a generous helping of sex appeal. The retailers who've gone mad for blouses will have to come up with some solutions for all the see-through ones the designer showed. But all in all, this was a focused collection that will continue to add extra zeroes to Wu's bottom line."
3609,"When you think about it in terms of today's political climate, it's strange that religion is such a frequent fashion reference. But there's something about both sides of Catholicism the pomp and the severe simplicity that inspires designers. (Here's looking at you, Riccardo Tisci.) Today, Véronique Leroy took her cues from the severe end of the spectrum, with visions of medieval pilgrims to Santiago de Compostela. That translated to super-stripped-down silhouettes in what Leroy called ""raw fabrics,"" like jute, linen, and a nubbly rough-woven tweed. For the most part, the effect of these peasant dresses and spartan versions of ladylike looks was quite chic. Backstage, Leroy also name-checked the American painter John Currin, and there was a sensuality, albeit set at a low simmer, in the sheer fabrics that exposed bra tops and briefs. The proceedings weren't without their clunky moments. An oddly dowdy oversize skirtsuit felt entirely out of place. (Though Leroy made the hem du jour the midi work nicely everywhere else.) It's also doubtful that jute dresses which look like burlap will ever make it off the runway. And if the huge backpacks were Leroy's way of working in the more casually clad pilgrims of today, they only served to distract from an otherwise fine collection."
