n,term,is_fashion,fashion_category,corpus_freq
2,wide leg,True,style,113
2,high waist,True,garment,70
2,broderie anglaise,True,material,34
2,high low,True,style,28
2,bell bottom,True,style,7
2,beautiful people,True,brand,3
2,leg warmer,True,accessory,3
2,rib knit,True,material,3
2,low waist,True,garment,2
2,teddy bear,True,garment,2
2,costume national,True,brand,1
2,empire waistline,True,garment,1
2,hair accessory,True,accessory,1
2,jacquard knit,True,material,1
2,one shoulder,True,garment,1
2,opening ceremony,True,brand,1
2,public school,True,brand,1
2,wood wood,True,brand,1
