min_df,tfidf_pct_to_drop,tfidf_cutoff,vocab_size,n_excluded,n_empty_docs,kept_fashion_share,coherence_cv_k20,perplexity_k20
2,0,0.0,11719,7150,4,0.035924566942571894,0.3589403994519378,4373.38646231293
2,25,8.363016224850609e-05,8789,10080,4,0.04551143474798043,0.3712932381670786,3707.8713673669076
2,50,0.00017563549149997448,5859,13010,4,0.06315070831199864,0.3903689918220899,3023.1093442474753
2,75,0.0005095703776149649,2930,15939,4,0.1037542662116041,0.4057832763622783,1998.660302326998
5,0,0.0,6986,11883,4,0.053678786143716004,0.3819603068858074,3325.3664897701656
5,25,0.00022255073297427306,5239,13630,4,0.06871540370299675,0.39547779007633155,2844.210202730179
5,50,0.0004138239612111994,3493,15376,4,0.0936158030346407,0.39784849976104486,2235.7944244185587
5,75,0.0010059176297418958,1747,17122,4,0.13909559244419004,0.41961013140751036,1374.7656871799513
10,0,0.0,4699,14170,4,0.07384549904234944,0.39381545033713516,2681.5853054134705
10,25,0.0004291161436671266,3524,15345,4,0.09307604994324631,0.4212463130143675,2230.4503224521723
10,50,0.0007464916612664581,2349,16520,4,0.1179225202213708,0.42356628610551506,1703.4098002443407
10,75,0.0015334999416004075,1175,17694,4,0.1804255319148936,0.43399942925597923,1016.4473959224747
15,0,0.0,3667,15202,4,0.08944641396236706,0.40997024556278205,2296.0100222111114
15,25,0.0006319451885544681,2750,16119,4,0.10727272727272727,0.4120461946702396,1909.0264988512727
15,50,0.0010376001988518123,1833,17036,4,0.1336606655755592,0.43024341698241664,1421.5238399184786
15,75,0.0020190007803518014,917,17952,4,0.20065430752453653,0.43322493080766666,839.6854430254017
20,0,0.0,3066,15803,4,0.1004566210045662,0.4146926352192814,2028.9152936029723
20,25,0.0008219773000311473,2299,16570,4,0.11787733797303175,0.42545647406389353,1685.853133667093
20,50,0.001280645401173985,1533,17336,4,0.15198956294846705,0.4215627688381276,1246.402727703202
20,75,0.0024009910478208197,767,18102,4,0.21903520208604954,0.4348825985971919,726.416000540237
