k,cluster_id,n,freq,top_verbs
10,0,399,31232,"have, make, do, show, want, get, work, give, use, find"
10,1,332,43426,"be, look, seem, feel, know, think, mean, play, love, like"
10,2,372,2048,"echo, pop, bear, stag, tap, riff, snap, nail, cinch, peek"
10,3,293,10742,"say, go, see, keep, leave, prove, try, happen, tell, remain"
10,4,391,5936,"turn, walk, fall, run, pull, push, launch, carry, throw, mix"
10,5,326,2708,"emerge, evoke, reflect, emphasize, conjure, extend, transform, expand, evolve, soften"
10,6,570,18112,"come, take, put, open, add, cut, need, set, feature, send"
10,7,293,771,"veer, dub, destine, patchworke, hone, juxtapose, meld, accent, liven, tempt"
10,8,208,3557,"wear, draw, cover, drape, layer, wrap, decorate, embroider, shape, accessorize"
10,9,109,815,"return, replace, revisit, reappear, revolve, repeat, reinterpret, reprise, rework, re"
15,0,258,29221,"have, come, do, go, take, want, get, give, use, find"
15,1,343,3661,"cut, drape, stick, wrap, catch, bear, embroider, line, shape, crop"
15,2,188,1447,"pop, paint, land, fill, inject, fuse, explode, wash, absorb, destine"
15,3,310,4635,"design, build, sound, focus, cover, lead, reveal, layer, capture, top"
15,4,302,14692,"make, show, work, include, become, appear, inspire, begin, prove, continue"
15,5,114,1013,"mix, combine, gather, separate, splice, merge, divide, split, pile, juxtapose"
15,6,262,15310,"say, look, seem, see, know, explain, think, mean, feature, close"
15,7,271,1537,"echo, stag, riff, snap, whip, flare, peek, strut, skew, hew"
15,8,210,2627,"leave, stand, remain, lose, stay, stop, appeal, settle, avoid, lie"
15,9,281,767,"name, veer, dub, patchworke, adorn, hone, meld, accent, liven, ampe"
15,10,110,949,"return, reflect, replace, revisit, reappear, revolve, repeat, reinterpret, reprise, rework"
15,11,166,1706,"grow, change, emphasize, rise, extend, transform, expand, evolve, soften, stretch"
15,12,58,241,"underscore, underline, overwhelm, extrapolate, overlay, overshadow, underpin, exaggerate, overpower, understate"
15,13,210,4575,"turn, move, walk, fall, run, push, launch, throw, break, reach"
15,14,210,36966,"be, feel, wear, play, love, like, live, dress, let, miss"
20,0,123,2514,"wear, dress, drape, wrap, embroider, crop, tuck, trim, style, cinch"
20,1,95,1170,"sound, echo, speak, hear, tap, riff, sing, nod, listen, rock"
20,2,249,2478,"carry, lead, top, mark, catch, match, bear, base, edge, head"
20,3,125,36578,"be, seem, feel, mean, like, stand, talk, live, sit, lose"
20,4,52,361,"cover, underscore, underline, overwhelm, extrapolate, offset, overlay, overshadow, underpin, exaggerate"
20,5,193,3982,"turn, walk, fall, run, push, throw, stick, reach, fly, shape"
20,6,265,8068,"find, put, open, include, add, bring, set, send, design, suggest"
20,7,94,1222,"leave, pull, sell, drop, abandon, explode, distract, escape, disappear, kill"
20,8,183,6746,"show, explain, appear, inspire, provide, describe, expect, introduce, evoke, reflect"
20,9,104,794,"return, replace, revisit, reappear, revolve, repeat, reinterpret, reprise, rework, re"
20,10,183,19931,"make, do, go, want, get, work, use, start, play, become"
20,11,160,1611,"love, emerge, explore, evolve, treat, crave, indulge, obsess, carve, mimic"
20,12,168,1144,"extend, transform, expand, soften, stretch, embellish, elevate, loosen, absorb, morph"
20,13,186,1292,"layer, pop, paint, land, fill, wash, destine, filter, blossom, spill"
20,14,106,4148,"look, focus, reveal, accessorize, display, render, flare, peek, shine, face"
20,15,91,1054,"mix, combine, gather, separate, pack, splice, merge, zip, divide, split"
20,16,279,19746,"have, come, take, see, give, know, think, cut, feature, offer"
20,17,203,848,"stag, whip, skew, hew, shake, hark, nip, sprout, sculpt, wove"
20,18,186,5068,"say, prove, claim, allow, insist, stop, deserve, appeal, settle, ought"
20,19,248,592,"veer, dub, patchworke, hone, meld, liven, ampe, soundtracke, imbue, vie"
25,0,102,11207,"look, show, seem, see, find, explain, think, appear, prove, describe"
25,1,118,1260,"fall, float, dip, blow, fill, fuse, flow, explode, wash, absorb"
25,2,84,1024,"reflect, emphasize, extend, expand, trim, soften, stretch, embellish, concentrate, lighten"
25,3,79,1759,"wear, dress, decorate, accessorize, style, suit, tailor, lace, adorn, lavish"
25,4,158,870,"echo, snap, shrug, nod, err, skew, hew, hark, nip, wove"
