year,n_reviews,mean,median,p10,p90
1999,97.0,6.711340206185567,6.0,4.0,11.0
2000,195.0,9.41025641025641,9.0,5.0,14.0
2001,204.0,10.42156862745098,10.0,7.0,14.0
2002,218.0,13.31651376146789,13.0,9.0,18.30000000000001
2003,222.0,15.77927927927928,15.0,10.0,22.0
2004,233.0,16.008583690987123,15.0,10.0,22.0
2005,282.0,16.390070921985817,16.0,10.0,23.0
2006,334.0,16.61377245508982,16.0,11.0,22.69999999999999
2007,421.0,16.790973871733968,16.0,11.0,23.0
2008,455.0,16.017582417582418,16.0,10.0,23.0
2009,529.0,17.5179584120983,17.0,11.0,26.0
2010,596.0,19.598993288590606,19.0,12.0,28.0
2011,679.0,21.34020618556701,21.0,14.0,30.0
2012,753.0,20.83266932270916,20.0,12.0,31.0
2013,815.0,22.684662576687117,21.0,13.0,34.0
2014,459.0,22.764705882352942,22.0,13.0,35.0
