type,tokens,share,rank,cum_share
Being & Presentation,36283,0.30403559637332617,1,0.30403559637332617
Generic Action,18704,0.156731301010575,2,0.4607668973839012
Cognition,9792,0.0820526571586586,3,0.5428195545425598
Initiation,9359,0.07842430742931841,4,0.6212438619718782
Perception,8296,0.06951683453719687,5,0.6907606965090751
Continuation & Development,4065,0.03406291374080343,6,0.7248236102498785
Construction & Composition,3366,0.028205600898288892,7,0.7530292111481675
Placement,3131,0.026236404162965694,8,0.7792656153111331
Naming & Noting,2528,0.021183529135732123,9,0.8004491444468652
Tailoring,2037,0.01706916489299301,10,0.8175183093398583
Garment & Styling,1850,0.015502187065310296,11,0.8330204964051685
Direction & Showcase,1850,0.015502187065310296,12,0.8485226834704788
Traversal Motion,1842,0.015435150580703548,13,0.8639578340511823
Competition,1566,0.013122391861770768,14,0.8770802259129531
Desire & Affinity,1542,0.012921282407950527,15,0.8900015083209036
Design & Ornamentation,1429,0.011974392062880222,16,0.9019759003837838
Spatial Placement,1424,0.011932494260001005,17,0.9139083946437848
Evocation,1261,0.01056662588613853,18,0.9244750205299234
Visual Effect,947,0.007935443865323702,19,0.9324104643952471
Transformation,918,0.007692436608624243,20,0.9401029010038714
Combination,897,0.007516465836531532,21,0.9476193668404029
Rejection & Departure,889,0.007449429351924785,22,0.9550687961923278
Reinterpretation,868,0.007273458579832074,23,0.9623422547721598
Sonic Metaphors,796,0.006670130218371349,24,0.9690123849905312
Ornamentation,794,0.006653371097219662,25,0.9756657560877509
Fluid Motion,747,0.006259531750155022,26,0.9819252878379059
Allusion,694,0.005815415039635322,27,0.9877407028775412
Runway Motion,598,0.005010977224354355,28,0.9927516801018956
Resistance,516,0.004323853257135196,29,0.9970755333590309
Refinement,349,0.0029244666409693476,30,1.0000000000000002
