review_id,brand,author,year,era,season,chain_len,n_distinct,entropy_bits,share__Outlining,share__Introducing,share__Highlighting,share__Evaluating
0,Matt Nye,Armand Limnander,1999,1998,Spring,3,2,0.9183,0.6667,0.3333,0.0,0.0
1,Giorgio Armani,Armand Limnander,1999,1998,Spring,13,3,1.2389,0.6154,0.0769,0.3077,0.0
2,Eric Bergère,Armand Limnander,1999,1998,Spring,7,2,0.5917,0.8571,0.1429,0.0,0.0
3,Céline,Armand Limnander,1999,1998,Spring,12,3,1.5,0.5,0.25,0.25,0.0
4,Byblos,Armand Limnander,1999,1998,Spring,7,2,0.9852,0.4286,0.5714,0.0,0.0
5,Bottega Veneta,Armand Limnander,1999,1998,Spring,3,2,0.9183,0.6667,0.0,0.3333,0.0
6,Thimister,Armand Limnander,1999,1998,Spring,6,4,1.7925,0.5,0.1667,0.1667,0.1667
7,Rebecca Danenberg,Armand Limnander,1999,1998,Spring,7,3,1.3788,0.5714,0.1429,0.0,0.2857
8,Jill Stuart,Armand Limnander,1999,1998,Spring,5,2,0.7219,0.8,0.2,0.0,0.0
9,Loewe,Armand Limnander,1999,1998,Spring,5,2,0.7219,0.8,0.2,0.0,0.0
10,Antonio Berardi,Armand Limnander,1999,1998,Spring,8,3,1.0613,0.75,0.125,0.125,0.0
11,Marni,Armand Limnander,1999,1998,Spring,5,3,1.371,0.6,0.2,0.0,0.2
12,Jean Colonna,By Armand Limnander,1999,1998,Spring,3,2,0.9183,0.6667,0.3333,0.0,0.0
13,Fendi,By Armand Limnander,1999,1998,Spring,8,2,0.5436,0.875,0.125,0.0,0.0
14,Tommy Hilfiger,Armand Limnander,1999,1998,Spring,4,1,-0.0,1.0,0.0,0.0,0.0
15,Iceberg,Armand Limnander,1999,1998,Spring,5,1,-0.0,1.0,0.0,0.0,0.0
16,Calvin Klein Collection,Armand Limnander,1999,1998,Spring,7,3,1.3788,0.5714,0.0,0.2857,0.1429
17,Christian Lacroix,Armand Limnander,1999,1998,Spring,5,3,1.371,0.6,0.2,0.0,0.2
18,John Bartlett,Armand Limnander,1999,1998,Spring,3,1,-0.0,1.0,0.0,0.0,0.0
19,Dolce & Gabbana,Armand Limnander,1999,1998,Spring,6,3,1.4591,0.5,0.3333,0.1667,0.0
20,Cerruti,Armand Limnander,1999,1998,Spring,7,3,1.1488,0.7143,0.1429,0.1429,0.0
21,Tuleh,Armand Limnander,1999,1998,Spring,5,3,1.371,0.6,0.0,0.2,0.2
