year,n_reviews,tokens,entropy_bits
1999,97,651,2.1188607258160927
2000,195,1835,2.19862795975661
2001,204,2126,2.3388173887082004
2002,218,2903,2.2723667596648216
2003,222,3503,2.2781428721725114
2004,233,3730,2.2666923452308962
2005,282,4622,2.270418233949752
2006,334,5549,2.242675363685432
2007,421,7069,2.2300589893820364
2008,455,7288,2.207282547643984
2009,529,9267,2.2067356086939958
2010,596,11681,2.1950051958321257
2011,679,14490,2.1747364493262378
2012,753,15687,2.1545691553341344
2013,815,18488,2.157116837809241
2014,459,10449,2.1922451742905884
