year,n_reviews,tokens,entropy_bits
1999,97,651,3.5430227223923576
2000,195,1835,3.692296016698522
2001,204,2126,3.8953915961463226
2002,218,2903,3.8169332184803406
2003,222,3503,3.817472168379294
2004,233,3730,3.7691026193873842
2005,282,4622,3.810210361707958
2006,334,5549,3.725950900157549
2007,421,7069,3.695297177465285
2008,455,7288,3.656675424465871
2009,529,9267,3.6737805881759806
2010,596,11681,3.6532904926526557
2011,679,14490,3.6337381662858403
2012,753,15687,3.5944263257961997
2013,815,18488,3.585869172982632
2014,459,10449,3.6706198014790834
