year,n_reviews,tokens,entropy_bits
1999,97,651,1.2549191927233163
2000,195,1835,1.298791202684212
2001,204,2126,1.3641312318969392
2002,218,2903,1.357661307286369
2003,222,3503,1.3589431027728671
2004,233,3730,1.3804038298978538
2005,282,4622,1.367809787432711
2006,334,5549,1.372482264372771
2007,421,7069,1.363192602040459
2008,455,7288,1.3429148985795554
2009,529,9267,1.357971443210276
2010,596,11681,1.3014811229687646
2011,679,14490,1.3037094419577473
2012,753,15687,1.3014127414363275
2013,815,18488,1.3362934967427402
2014,459,10449,1.3336770140557153
