year,Allusion,Being & Presentation,Cognition,Combination,Competition,Construction & Composition,Continuation & Development,Design & Ornamentation,Desire & Affinity,Direction & Showcase,Evocation,Fluid Motion,Garment & Styling,Generic Action,Initiation,Naming & Noting,Ornamentation,Perception,Placement,Refinement,Reinterpretation,Rejection & Departure,Resistance,Runway Motion,Sonic Metaphors,Spatial Placement,Tailoring,Transformation,Traversal Motion,Visual Effect
1999,0.0077,0.3395,0.0522,0.0154,0.0092,0.0169,0.0384,0.0261,0.0061,0.0154,0.0184,0.0092,0.0246,0.1628,0.0799,0.0384,0.0077,0.0522,0.0169,0.0031,0.0015,0.0061,0.0031,0.0046,0.0015,0.0077,0.0092,0.0046,0.0108,0.0108
2000,0.0093,0.3084,0.055,0.0087,0.0131,0.0185,0.0447,0.0114,0.0104,0.0142,0.0114,0.006,0.0349,0.1608,0.0725,0.0294,0.006,0.0654,0.0251,0.0027,0.0131,0.0098,0.0022,0.006,0.0033,0.0104,0.0169,0.0076,0.0147,0.0082
2001,0.0047,0.2658,0.0513,0.0075,0.0212,0.0273,0.0508,0.0212,0.0094,0.0141,0.016,0.0085,0.0202,0.143,0.0903,0.0259,0.0122,0.0621,0.032,0.0028,0.0052,0.0099,0.0038,0.008,0.0028,0.0127,0.0193,0.0113,0.0268,0.0141
2002,0.0045,0.2811,0.0627,0.01,0.0141,0.0262,0.0358,0.0114,0.0189,0.0152,0.0152,0.0086,0.0148,0.1605,0.081,0.0248,0.0062,0.051,0.0365,0.0028,0.011,0.009,0.0045,0.0072,0.0045,0.011,0.0265,0.0103,0.0269,0.0079
2003,0.0054,0.2615,0.0677,0.0088,0.0126,0.0291,0.0348,0.0123,0.0134,0.0168,0.0123,0.0083,0.0134,0.1747,0.0908,0.0211,0.0103,0.052,0.0311,0.0009,0.0106,0.0137,0.0057,0.0083,0.0029,0.0128,0.03,0.0066,0.0228,0.0094
2004,0.0056,0.2788,0.081,0.0091,0.015,0.0271,0.0413,0.0121,0.0153,0.0131,0.0102,0.0091,0.0153,0.1609,0.0877,0.0196,0.0086,0.0528,0.0298,0.0024,0.0105,0.0094,0.0054,0.0067,0.0035,0.0094,0.0239,0.0067,0.0225,0.0075
2005,0.0069,0.2785,0.0692,0.0091,0.0154,0.0244,0.0379,0.0162,0.0113,0.019,0.0117,0.0082,0.0147,0.1586,0.0852,0.0232,0.0087,0.0614,0.0305,0.0026,0.0089,0.01,0.0045,0.0056,0.0052,0.0119,0.0212,0.0091,0.0184,0.0125
2006,0.0045,0.2831,0.0809,0.0038,0.0123,0.0294,0.0411,0.0132,0.0128,0.0133,0.0108,0.0047,0.0157,0.1609,0.0863,0.0256,0.0074,0.0633,0.027,0.0036,0.0081,0.0076,0.007,0.0041,0.0052,0.0133,0.0207,0.0081,0.0169,0.0092
2007,0.0048,0.2998,0.0767,0.0057,0.0141,0.0257,0.0388,0.0123,0.0146,0.0171,0.0081,0.0055,0.0151,0.156,0.0876,0.0214,0.0066,0.0588,0.0303,0.0033,0.0064,0.0079,0.0059,0.0069,0.0069,0.0113,0.0192,0.0052,0.0184,0.0095
2008,0.0051,0.3009,0.0816,0.0058,0.0148,0.0274,0.0351,0.0119,0.014,0.0163,0.0084,0.007,0.0143,0.1601,0.0841,0.0191,0.0058,0.0679,0.0288,0.0036,0.0069,0.0085,0.0038,0.0054,0.0044,0.0126,0.0159,0.0063,0.0158,0.0084
2009,0.0057,0.2962,0.0928,0.0088,0.0124,0.0255,0.0338,0.0122,0.014,0.0137,0.0088,0.0069,0.0161,0.1595,0.0822,0.0207,0.0057,0.0654,0.0255,0.0032,0.0066,0.0082,0.005,0.0053,0.0069,0.0129,0.0141,0.0077,0.0177,0.0064
2010,0.0045,0.3037,0.0846,0.0071,0.0127,0.0306,0.034,0.0114,0.012,0.014,0.0081,0.0062,0.0179,0.1591,0.0734,0.0193,0.0064,0.0741,0.0265,0.0023,0.0058,0.0081,0.0051,0.0049,0.0088,0.0118,0.0184,0.0062,0.0149,0.0081
2011,0.0059,0.3081,0.0875,0.0073,0.0135,0.0295,0.0305,0.011,0.0137,0.0154,0.01,0.0065,0.0141,0.1597,0.0694,0.019,0.0072,0.0776,0.0251,0.0026,0.0066,0.007,0.003,0.0048,0.0072,0.0112,0.0173,0.0076,0.0139,0.0079
2012,0.0069,0.3205,0.084,0.0073,0.0124,0.031,0.0319,0.0107,0.0121,0.0149,0.0108,0.005,0.0147,0.1567,0.0736,0.019,0.0059,0.0743,0.023,0.0038,0.0066,0.0064,0.0033,0.0047,0.0072,0.0126,0.0143,0.0075,0.0124,0.0068
2013,0.0066,0.3227,0.0857,0.0077,0.0118,0.0282,0.0307,0.0107,0.0121,0.017,0.0121,0.0056,0.0143,0.1494,0.0786,0.0221,0.0055,0.0753,0.025,0.0022,0.0064,0.0048,0.0039,0.0035,0.0083,0.0108,0.012,0.0091,0.0114,0.0067
2014,0.0057,0.3101,0.0865,0.0085,0.0126,0.0285,0.0304,0.0127,0.0124,0.0163,0.0116,0.0056,0.0149,0.1487,0.0733,0.0226,0.0067,0.0748,0.0222,0.0038,0.0094,0.0066,0.0044,0.004,0.0072,0.0137,0.0172,0.0085,0.0136,0.0073
