year,Evaluating,Highlighting,Introducing,Outlining
1999,0.0338,0.1106,0.1382,0.7174
2000,0.0398,0.1144,0.1417,0.7041
2001,0.0484,0.1326,0.1355,0.6834
2002,0.0527,0.1264,0.1323,0.6886
2003,0.0485,0.1339,0.1319,0.6857
2004,0.0488,0.1244,0.1509,0.6759
2005,0.0502,0.1248,0.1424,0.6826
2006,0.0454,0.1209,0.1573,0.6763
2007,0.0518,0.1152,0.1485,0.6845
2008,0.049,0.1142,0.1453,0.6915
2009,0.0451,0.1135,0.1599,0.6815
2010,0.0437,0.1017,0.1511,0.7035
2011,0.0455,0.1006,0.1502,0.7037
2012,0.0426,0.1049,0.149,0.7035
2013,0.0448,0.111,0.1533,0.6908
2014,0.0457,0.1094,0.1525,0.6924
