verb,frequency,assigned_cluster,centroid_distance
getexcite,1,Direction & Showcase,0.981139063835144
except,1,Cognition,0.9766402244567871
welcome,7,Generic Action,0.9747063517570496
define,92,Allusion,0.9745052456855774
override,2,Transformation,0.9742081165313721
createdextraordinary,1,Construction & Composition,0.9731090068817139
integrate,19,Naming & Noting,0.9686286449432373
changedãinclude,1,Reinterpretation,0.9559486508369446
abstract,12,Direction & Showcase,0.9551244378089905
ram,1,Direction & Showcase,0.9549123048782349
notesexplaine,1,Naming & Noting,0.9543995261192322
approximatedsomethe,1,Generic Action,0.9510217308998108
synchronize,2,Construction & Composition,0.9490504860877991
subtitle,1,Direction & Showcase,0.9465070962905884
lasso,1,Direction & Showcase,0.944886326789856
limit,26,Generic Action,0.9444188475608826
further,5,Cognition,0.9442086219787598
transcendexplanation,1,Evocation,0.9440927505493164
while,1,Allusion,0.9432995915412903
fy,1,Generic Action,0.9431134462356567
toggle,1,Placement,0.9424882531166077
array,4,Direction & Showcase,0.9420741200447083
thank,11,Generic Action,0.9417914152145386
could,20,Cognition,0.9368444681167603
tot,4,Generic Action,0.9366722702980042
redirect,4,Construction & Composition,0.9340348839759827
shelvedin,1,Ornamentation,0.9328804016113281
freelance,1,Direction & Showcase,0.9327319860458374
unbutton,5,Rejection & Departure,0.9321673512458801
man,1,Allusion,0.931899905204773
tax,1,Naming & Noting,0.9311453700065613
dixi,1,Spatial Placement,0.9308950304985046
calibrate,2,Placement,0.9295825958251953
enjoy,49,Generic Action,0.9287425875663757
lag,1,Generic Action,0.9286110401153564
schedule,7,Generic Action,0.9284972548484802
coax,3,Direction & Showcase,0.9282093644142151
cost,9,Generic Action,0.9282025098800659
might,10,Cognition,0.9276886582374573
approximate,7,Generic Action,0.926760733127594
hasãwitness,1,Allusion,0.9261909127235413
rasp,1,Visual Effect,0.9260238409042358
exempt,1,Naming & Noting,0.9258136749267578
quicken,1,Direction & Showcase,0.9257656931877136
bulk,2,Placement,0.9255499839782715
sideline,2,Tailoring,0.9254150986671448
saidin,1,Allusion,0.9253830909729004
whichwa,1,Direction & Showcase,0.9251275658607483
shave,6,Tailoring,0.9250742197036743
allot,1,Naming & Noting,0.924794614315033
default,2,Direction & Showcase,0.9243817329406738
contour,2,Placement,0.9243019819259644
pique,4,Ornamentation,0.9236534237861633
cast,40,Generic Action,0.923240065574646
underwrite,1,Generic Action,0.9230838418006897
upgrade,7,Generic Action,0.9228594899177551
long,3,Naming & Noting,0.9221385717391968
san,1,Spatial Placement,0.9221346378326416
spring,16,Spatial Placement,0.9214307069778442
clock,9,Naming & Noting,0.9206635355949402
ponder,8,Ornamentation,0.9203816652297974
converge,3,Combination,0.9203374981880188
instagramme,1,Design & Ornamentation,0.9199622869491577
part,16,Naming & Noting,0.9198630452156067
found,31,Allusion,0.9197095632553101
would,15,Cognition,0.9195189476013184
