tier,alphabet,analysis,grouping,min_reviews,n_groups,n_reviews,statistic,value,null_value,excess,max_true_sd_pp,floor,verdict,group_overdisp,floor_in_force,seed,n_permutations,alphabet_source,run_utc
0,Agency_6,review heterogeneity,(review),1,,6501,overdispersion,1.0464,1.0,0.0464,1.98,1.2,fail,,1.2,42,200,event_sequences.jsonl,2026-07-24 09:23
0,Agency_6,review heterogeneity,(review),24,,1897,overdispersion,1.0504,1.0,0.0504,2.01,1.2,fail,,1.2,42,200,event_sequences.jsonl,2026-07-24 12:25
0,Agency_nested,review heterogeneity,(review),1,,6501,overdispersion,1.0464,1.0,0.0464,1.98,1.2,fail,,1.2,42,200,event_sequences.jsonl,2026-07-23 04:03
0,Cluster_30,review heterogeneity,(review),1,,6501,overdispersion,1.0433,1.0,0.0433,3.14,1.2,fail,,1.2,42,200,event_sequences.jsonl,2026-07-24 09:23
0,Cluster_30,review heterogeneity,(review),24,,1897,overdispersion,1.0333,1.0,0.0333,1.9,1.2,fail,,1.2,42,200,event_sequences.jsonl,2026-07-24 12:25
0,MR,review heterogeneity,(review),1,,6501,overdispersion,1.009,1.0,0.009,2.05,1.2,fail,,1.2,42,200,event_sequences.jsonl,2026-07-24 09:23
0,MR,review heterogeneity,(review),24,,1897,overdispersion,1.0188,1.0,0.0188,2.26,1.2,fail,,1.2,42,200,event_sequences.jsonl,2026-07-24 12:25
0,MR_nested,review heterogeneity,(review),1,,6501,overdispersion,1.009,1.0,0.009,2.05,1.2,fail,,1.2,42,200,event_sequences.jsonl,2026-07-23 04:03
0,v1_named,review heterogeneity,(review),1,,6501,overdispersion,1.0433,1.0,0.0433,3.14,1.2,fail,,1.2,42,200,event_sequences.jsonl,2026-07-23 04:03
1,Agency_6,between-group,author,1,60.0,6461,eta_excess,0.0335,0.0091,0.0243,3.66,0.02,PASS,1.156,0.02,42,200,event_sequences.jsonl,2026-07-24 09:23
1,Agency_6,between-group,author,24,36.0,1883,eta_excess,0.0352,0.0187,0.0165,3.92,0.02,fail,1.432,0.02,42,200,event_sequences.jsonl,2026-07-24 13:20
1,Agency_nested,between-group,author,10,40.0,6409,eta_excess,0.0303,0.0061,0.0242,3.25,0.02,PASS,2.509,0.02,42,200,event_sequences.jsonl,2026-07-23 04:03
1,Cluster_30,between-group,author,1,60.0,6461,eta_excess,0.0416,0.0091,0.0325,4.01,0.02,PASS,0.816,0.02,42,200,event_sequences.jsonl,2026-07-24 09:23
1,Cluster_30,between-group,author,24,36.0,1883,eta_excess,0.0521,0.0186,0.0335,3.32,0.02,PASS,1.025,0.02,42,200,event_sequences.jsonl,2026-07-24 13:20
1,MR,between-group,author,1,60.0,6461,eta_excess,0.0345,0.0092,0.0253,2.03,0.02,PASS,1.058,0.02,42,200,event_sequences.jsonl,2026-07-24 09:23
1,MR,between-group,author,24,36.0,1883,eta_excess,0.0407,0.0187,0.0219,5.59,0.02,PASS,1.223,0.02,42,200,event_sequences.jsonl,2026-07-24 13:20
1,MR_nested,between-group,author,10,40.0,6409,eta_excess,0.0313,0.006,0.0253,2.28,0.02,PASS,2.36,0.02,42,200,event_sequences.jsonl,2026-07-23 04:03
1,v1_named,between-group,author,10,40.0,6409,eta_excess,0.0385,0.006,0.0324,3.05,0.02,PASS,1.726,0.02,42,200,event_sequences.jsonl,2026-07-23 04:03
1,Agency_6,between-group,brand,24,65.0,1883,eta_excess,0.0528,0.0341,0.0187,1.86,0.02,fail,1.787,0.02,42,200,event_sequences.jsonl,2026-07-24 13:20
1,Agency_nested,between-group,brand,10,242.0,4623,eta_excess,0.0687,0.052,0.0167,1.8,0.02,fail,1.304,0.02,42,200,event_sequences.jsonl,2026-07-23 04:03
1,Cluster_30,between-group,brand,24,65.0,1883,eta_excess,0.0458,0.034,0.0119,1.74,0.02,fail,1.213,0.02,42,200,event_sequences.jsonl,2026-07-24 13:20
1,MR,between-group,brand,24,65.0,1883,eta_excess,0.0487,0.0341,0.0146,1.42,0.02,fail,1.359,0.02,42,200,event_sequences.jsonl,2026-07-24 13:20
1,MR_nested,between-group,brand,10,242.0,4623,eta_excess,0.0709,0.0519,0.019,1.57,0.02,fail,1.247,0.02,42,200,event_sequences.jsonl,2026-07-23 04:03
1,v1_named,between-group,brand,10,242.0,4623,eta_excess,0.0685,0.0522,0.0163,1.63,0.02,fail,1.134,0.02,42,200,event_sequences.jsonl,2026-07-23 04:03
1,Agency_6,between-group,year,10,16.0,6461,eta_excess,0.0169,0.0023,0.0146,1.77,0.02,fail,3.795,0.02,42,200,event_sequences.jsonl,2026-07-24 09:23
1,Agency_6,between-group,year,24,16.0,1883,eta_excess,0.0215,0.008,0.0136,1.88,0.02,fail,2.155,0.02,42,200,event_sequences.jsonl,2026-07-24 13:20
1,Agency_nested,between-group,year,10,16.0,6461,eta_excess,0.0169,0.0023,0.0146,1.77,0.02,fail,3.795,0.02,42,200,event_sequences.jsonl,2026-07-23 04:03
1,Cluster_30,between-group,year,10,16.0,6461,eta_excess,0.0237,0.0023,0.0213,1.97,0.02,PASS,2.301,0.02,42,200,event_sequences.jsonl,2026-07-24 09:23
1,Cluster_30,between-group,year,24,16.0,1883,eta_excess,0.0375,0.008,0.0295,2.0,0.02,PASS,1.552,0.02,42,200,event_sequences.jsonl,2026-07-24 13:20
