topic_id,chunk,cosine_similarity
0,1,0.8285456477289292
1,1,0.8605708379665968
2,1,0.8247770357566274
3,1,0.9017513591495141
4,1,0.867807980343422
5,1,0.8717293447026404
6,1,0.8917894506516477
7,1,0.8488552233390392
8,1,0.8963900488254284
9,1,0.8895577295860654
0,2,0.8755395349437263
1,2,0.86197048235201
2,2,0.8612610021920108
3,2,0.8904948001968247
4,2,0.859575182031362
5,2,0.8591641666173548
6,2,0.8685957221460702
7,2,0.8201297569610215
8,2,0.8371869707807688
9,2,0.8665102172863893
0,3,0.8924747922168057
1,3,0.8670027560757305
2,3,0.860484919945903
3,3,0.9005182866991449
4,3,0.8624965731711876
5,3,0.8790292390674597
6,3,0.8867324985825082
7,3,0.8371616885189737
8,3,0.8596303494344546
9,3,0.8610762184204429
0,4,0.8701029923906505
1,4,0.8796576750521223
2,4,0.8609944291802291
3,4,0.8887310655196227
4,4,0.8775537248208909
5,4,0.8366894609218284
6,4,0.8846346512159545
7,4,0.874128464123505
8,4,0.8276204317385262
9,4,0.8704981986871319
0,5,0.8982010369105784
1,5,0.886018870157487
2,5,0.8927742627370234
3,5,0.90120754469453
4,5,0.8736547223913026
5,5,0.8730215870826087
6,5,0.8957744315891145
7,5,0.8716114678557608
8,5,0.8797177729253041
9,5,0.8816152216605978
0,6,0.8896252354855461
1,6,0.8853510671170866
2,6,0.8871161867296544
3,6,0.8899686720893036
4,6,0.861320141975944
5,6,0.8712744527808308
6,6,0.8826459585823654
7,6,0.8664941526706682
8,6,0.8969834681627291
9,6,0.891446479653232
0,7,0.9089107510938785
1,7,0.9008515520357547
2,7,0.889750161501209
3,7,0.8985346900900615
4,7,0.8801270907716678
5,7,0.8890128372491328
6,7,0.8720752063330608
7,7,0.8787587391791927
8,7,0.8870768384985791
9,7,0.8923186246824202
0,8,0.9127092658363526
1,8,0.9222354448825518
2,8,0.9109306076151449
3,8,0.9258868073802478
4,8,0.893772711927264
5,8,0.9042542204115247
6,8,0.8978780490407543
7,8,0.9106315515813099
8,8,0.9127710786427095
9,8,0.9251255539250667
0,9,0.9223337776839482
1,9,0.9269415165482952
2,9,0.919866627330146
3,9,0.9399153172568477
4,9,0.9008864263315759
5,9,0.9093823465374289
6,9,0.9129577805773674
7,9,0.9195603999967523
8,9,0.9263982502135144
9,9,0.9275835038116462
0,10,0.9138504437081326
1,10,0.9326326475693816
2,10,0.9280755107684795
3,10,0.9296395777927304
4,10,0.9106330804183395
5,10,0.9147577287981359
6,10,0.9136163442635656
7,10,0.9126093598340588
8,10,0.9266277986533158
9,10,0.9316603363368594
0,11,0.8713463304986435
1,11,0.8924412632257259
2,11,0.8621105100340571
3,11,0.9260233117904769
4,11,0.8339056369187415
5,11,0.825889012800928
6,11,0.8339540865378732
7,11,0.8534618755675945
8,11,0.8051817817235601
9,11,0.8732796825141758
