topic_id,year,rank,word_phi,phi,word_relevance,relevance
0,all,1,skirt,0.015079262791596855,blazer,-1.4676620920235568
0,all,2,jacket,0.013983760793916743,white,-1.4848643227751668
0,all,3,leather,0.013017141384198995,masculine,-1.4964382779791428
0,all,4,white,0.011986080680500064,leather,-1.501076206282216
0,all,5,short,0.007314086866864287,skirt,-1.5144240826812871
0,all,6,trouser,0.007249645572883104,trouser,-1.5184175399503697
0,all,7,coat,0.007152983631911329,pleated,-1.5711941923847768
0,all,8,shirt,0.007152983631911329,jacket,-1.6160897750279672
0,all,9,pant,0.007056321690939554,shirt,-1.6471728585453211
0,all,10,print,0.006283026163165356,couple,-1.7519785284194902
0,all,11,sleeve,0.005638613223353525,waist,-1.7547987171156632
0,all,12,silk,0.005606392576362933,sleeve,-1.7845981708334213
0,all,13,waist,0.005090862224513468,green,-1.7974554695736975
0,all,14,suit,0.005090862224513468,sharp,-1.8095574507672871
0,all,15,pleated,0.004961979636551102,strong,-1.815748738538582
0,all,16,strong,0.004768655754607553,short,-1.8171004642733528
0,all,17,blazer,0.004478669931692229,shirtdress,-1.8234570688632308
0,all,18,shoulder,0.0043175666967392706,dolman,-1.8245298913720693
0,all,19,signature,0.0043175666967392706,belt,-1.8853220098709293
0,all,20,spring,0.00409202216780513,consistent,-1.8897047348972378
1,all,1,skirt,0.01759539154736782,gown,-0.9018807461893888
1,all,2,gown,0.015827297096902983,carpet,-1.309228346687319
1,all,3,silk,0.012633320025095535,simple,-1.33314460980213
1,all,4,white,0.010865225574630696,silk,-1.3378399798953786
1,all,5,jacket,0.010637084355215879,skirt,-1.3601075337097792
1,all,6,coat,0.010294872526093651,column,-1.3684285588106597
1,all,7,print,0.008669366337763076,cocktail,-1.44377062727443
1,all,8,leather,0.006986824844578794,number,-1.4491632316766294
1,all,9,simple,0.006901271887298238,beaded,-1.4539990515976235
1,all,10,number,0.006045742314492671,neckline,-1.4620785386326371
1,all,11,lace,0.005732048137797296,strapless,-1.5292598389022167
1,all,12,sleeve,0.005675012832943592,beading,-1.5775115753659557
1,all,13,cocktail,0.005275765698967661,white,-1.5830429809378455
1,all,14,pant,0.005275765698967661,client,-1.5908025620900372
1,all,15,wool,0.004648377345576912,elegant,-1.61807755861886
1,all,16,chiffon,0.004562824388296355,cashmere,-1.6454550041039995
1,all,17,shoulder,0.00436320082130839,eveningwear,-1.679119384769166
1,all,18,satin,0.004334683168881538,sophisticated,-1.6973640489134838
1,all,19,beaded,0.0042776478640278335,liquid,-1.7457899526542504
1,all,20,pink,0.004249130211600981,coat,-1.75997293954064
2,all,1,print,0.018255578093306288,print,-1.19996962512258
2,all,2,jacket,0.012105991822016163,denim,-1.3427806545787693
2,all,3,leather,0.010109791042853923,jean,-1.4501602183568163
2,all,4,skirt,0.008821919572426671,shirt,-1.4633423824377334
2,all,5,shirt,0.008596542065101903,hot,-1.5390629949356045
2,all,6,pant,0.00853214849158054,leopard,-1.5973507868483932
2,all,7,white,0.008177983837213047,disco,-1.6266145442626394
2,all,8,short,0.008016999903409639,lineup,-1.7102714142585345
2,all,9,silk,0.006632538072700344,sweatshirt,-1.721455491229357
2,all,10,suit,0.0059242087639653565,short,-1.7253383857104303
2,all,11,denim,0.005344666602273093,pant,-1.7339384956818524
2,all,12,high,0.004990501947905599,leather,-1.7538388987554954
2,all,13,coat,0.004571943720016743,jacket,-1.7602859661588595
2,all,14,floral,0.00450755014649538,beaded,-1.7789427756301917
2,all,15,blue,0.00450755014649538,suit,-1.7800516690463175
2,all,16,lace,0.004217779065649248,frock,-1.780419739246382
2,all,17,jean,0.004185582278888567,gal,-1.7899643951627227
2,all,18,sexy,0.003895811198042435,floral,-1.7933915830576308
2,all,19,pink,0.0037670240509997104,logo,-1.8013811984066672
2,all,20,pair,0.0037670240509997104,purple,-1.8228306522532889
3,all,1,coat,0.027762782447751985,fur,-0.6557705516814347
3,all,2,jacket,0.019331122593249532,coat,-0.7679225349421758
3,all,3,leather,0.01889411583249788,shearling,-1.0303363027293502
3,all,4,fur,0.017531682990154496,leather,-1.1284927212336835
3,all,5,skirt,0.01167065114007352,mink,-1.2020893463700604
3,all,6,sweater,0.008097478213927662,jacket,-1.2922701213816856
3,all,7,pant,0.0078147091334413,tweed,-1.3023087780017697
3,all,8,fall,0.007686177733220226,fall,-1.3608454184266345
3,all,9,wool,0.007660471453176011,luxury,-1.3802308327541652
3,all,10,high,0.006349451170921056,sweater,-1.3850734207582445
3,all,11,tweed,0.006040975810390478,wool,-1.3928862299222122
3,all,12,boot,0.005449731369373538,outerwear,-1.407515196271838
3,all,13,collar,0.00519266856893139,boot,-1.4376952740274578
3,all,14,silk,0.00519266856893139,cashmere,-1.4511981018035924
3,all,15,shoulder,0.004987018328577671,camel,-1.4731446890746631
3,all,16,cashmere,0.004987018328577671,collar,-1.5103541622916647
3,all,17,print,0.004678542968047094,sable,-1.5751687829543572
3,all,18,shearling,0.004575717847870235,cozy,-1.64561495866728
3,all,19,short,0.00449859900773759,mongolian,-1.671581733924415
3,all,20,big,0.004472892727693375,winter,-1.6734022583822752
4,all,1,leather,0.011573857432537825,body,-1.27683000026398
4,all,2,jacket,0.011417875526438933,work,-1.3881487359568414
4,all,3,white,0.00876618312275776,complex,-1.4070737934368194
4,all,4,body,0.00854780845421931,talent,-1.4813414447094755
4,all,5,skirt,0.008391826548120419,asymmetric,-1.5459802993029679
4,all,6,coat,0.0076119170176259555,material,-1.587546537045999
4,all,7,high,0.007549524255186398,beige,-1.5984791471114201
4,all,8,print,0.0075183278739666196,belgian,-1.6082784679000641
4,all,9,work,0.006769614724691936,leather,-1.6185943780434484
4,all,10,shoulder,0.006707221962252379,high,-1.6329839735180052
4,all,11,pant,0.006145687100296365,greek,-1.644081848386794
4,all,12,shirt,0.0049290282327250036,shoulder,-1.6445302138328923
4,all,13,material,0.0045234752768678835,technical,-1.6446137437708122
4,all,14,short,0.0043362969895492124,art,-1.6901617070495512
4,all,15,fact,0.0042427078458898764,conceptual,-1.6943218035873882
4,all,16,hand,0.003993136796131649,puffy,-1.6952898448896943
4,all,17,sleeve,0.003837154890032756,construction,-1.7042617978865788
4,all,18,silk,0.0036187802214943067,fact,-1.7151461943776285
4,all,19,strong,0.003587583840274528,technique,-1.735360007993458
4,all,20,past,0.003587583840274528,harness,-1.7528269188190881
5,all,1,skirt,0.011290602744484974,performance,-1.3934249801698733
5,all,2,print,0.009611487464535927,cultural,-1.6234944660649762
5,all,3,jacket,0.007613919286665508,extravagant,-1.6251145442844537
5,all,4,coat,0.005876903479821666,giant,-1.6378471287095806
5,all,5,white,0.005326848474321117,pure,-1.6435941809514718
5,all,6,short,0.005124196630189335,stage,-1.6771923349901887
5,all,7,gown,0.005037345839847143,ruffle,-1.6982545183644995
5,all,8,young,0.004632042151583579,cloud,-1.7000177154898175
5,all,9,suit,0.00451624109779399,dancer,-1.7040319298846993
5,all,10,presentation,0.004429390307451798,century,-1.7187735251246605
5,all,11,lace,0.004371489780557003,culture,-1.7219500807410744
5,all,12,signature,0.004284638990214811,life,-1.7237653376018036
5,all,13,work,0.004255688726767413,catwalk,-1.7376150332490021
5,all,14,leather,0.0041977881998726185,soundtrack,-1.749962380692114
5,all,15,pink,0.004110937409530426,audience,-1.778174584283608
5,all,16,chiffon,0.004081987146083029,screen,-1.7791904181973437
5,all,17,big,0.003995136355740838,young,-1.7979009847753558
5,all,18,audience,0.0037345839847142607,skirt,-1.803773793365266
5,all,19,life,0.003676683457819466,artist,-1.808198684276237
5,all,20,place,0.0035898326674772742,romantic,-1.809011498404061
6,all,1,jacket,0.013215104933410935,lingerie,-1.2039423230446709
6,all,2,skirt,0.010989763429080078,chiffon,-1.2968589376407493
6,all,3,print,0.009654558526481564,satin,-1.3135485178889734
6,all,4,lace,0.009312198295046047,lace,-1.3244756139218237
