chunk.id,start.date,end.date,memory,n,n.discarded,n.memory,n.vocab
0,10846.0,12344.0,,936,0,-2147483648,1590
1,12435.0,12701.0,11688.0,236,0,440,1621
2,12817.0,13065.0,12053.0,282,0,458,1662
3,13182.0,13429.0,12418.0,334,0,518,1722
4,13545.0,13794.0,12784.0,421,0,616,1800
5,13909.0,14157.0,13149.0,455,0,755,1871
6,14274.0,14525.0,13514.0,529,0,876,1978
7,14642.0,14924.0,13879.0,596,0,984,2134
8,15013.0,15282.0,14245.0,680,0,1125,2316
9,15373.0,15681.0,14610.0,755,0,1276,2490
10,15735.0,16008.0,14975.0,818,0,1435,2703
11,16100.0,16233.0,15340.0,459,0,1573,2749
