topic_id,top_words
0,"skirt, jacket, leather, white, short, trouser, coat, shirt, pant, print, sleeve, silk, waist, suit, pleated"
1,"skirt, gown, silk, white, jacket, coat, print, leather, simple, number, lace, sleeve, cocktail, pant, wool"
2,"print, jacket, leather, skirt, shirt, pant, white, short, silk, suit, denim, high, coat, floral, blue"
3,"coat, jacket, leather, fur, skirt, sweater, pant, fall, wool, high, tweed, boot, collar, silk, shoulder"
4,"leather, jacket, white, body, skirt, coat, high, print, work, shoulder, pant, shirt, material, short, fact"
5,"skirt, print, jacket, coat, white, short, gown, young, suit, presentation, lace, signature, work, leather, pink"
6,"jacket, skirt, print, lace, chiffon, short, silk, white, satin, gown, coat, shoulder, pant, leather, suit"
7,"print, jacket, pant, leather, skirt, white, high, short, big, shirt, young, coat, pair, bright, jean"
8,"print, skirt, white, short, coat, blue, chiffon, silk, jacket, sweater, spring, floral, blouse, lace, trouser"
9,"jacket, skirt, pant, silk, coat, print, leather, wool, white, trouser, cotton, short, hand, belt, suit"
