year,topic_id,top_lift_words
1999,0,"experimental, thinking, company, jolt, smooth, paper, closure, brave, transition, cult, austere, desire, one, worth, crinkly"
1999,1,"pleating, russian, insert, shine, desert, decorative, veil, patch, natural, team, familiar, flow, global, magic, optical"
1999,2,"available, necked, dripping, necklace, affair, shimmering, soundtrack, pleasure, jungle, doubt, bejeweled, platform, choker, diamant, typical"
1999,3,"vixen, trainer, stone, dream, super, dimension, sartorial, cabaret, psychedelic, waistcoat, festival, problem, singer, hippie, deluxe"
1999,4,"tailor, vein, human, wing, graduate, tech, rest, seaming, topstitching, cloud, mirror, detailed, butter, attention, tailoring"
1999,5,"grazing, architect, origami, maximalist, underpinning, wire, generous, craftsmanship, entire, whimsical, grand, bodice, fantasy, inspection, rare"
1999,6,"broderie, knitwear, golden, fiber, single, market, minor, innocent, restraint, dark, prairie, back, provocative, restrained, snap"
1999,7,"athletic, tracksuit, sporty, resort, ponchos, sneaker, retro, nautical, cross, sportswear, nylon, personal, age, celebration, showroom"
1999,8,"brief, distinctive, ribbon, hotel, miniature, category, caftan, toned, salmon, feel, swimsuit, minidresse, dramatic, rough, cut"
1999,9,"charmeuse, supple, vintage, slung, wedge, gear, glad, obvious, wood, muted, grey, backdrop, minor, restraint, innocent"
2000,0,"chaos, rare, strand, individual, counterpoint, necked, debutante, code, uptown, brief, predominant, spine, vertical, horizontal, date"
2000,1,"gauzy, seductive, situation, ticket, marble, cocoon, career, chinese, return, flattering, advantage, broadtail, varied, bunch, accomplished"
2000,2,"fishnet, vice, door, bottle, worth, nylon, expensive, provocative, bra, tutu, cat, pendant, sock, presence, strappy"
2000,3,"quintessential, travel, hallmark, python, twinset, eighty, sixty, seventy, limit, cutaway, book, messy, rebellious, trio, midi"
2000,4,"commitment, technique, intricate, stitching, human, convincing, skirtsuit, curvaceous, classy, structure, talented, bubblegum, mirror, plain, bare"
2000,5,"insider, nomad, room, wooden, object, screen, strange, chair, table, pad, moth, mental, cell, puzzle, shocking"
2000,6,"frothy, transition, illusion, enthusiastic, applause, wire, kilter, water, graceful, gauge, swing, bib, knife, fetish, rubber"
2000,7,"club, victorian, rise, riot, random, eccentricity, debt, gun, pressure, experimental, brother, zone, sport, treasure, cozy"
2000,8,"tennis, blast, equal, twill, teenage, grass, taupe, flagship, damask, swirl, collarless, indication, innovation, difficult, balance"
2000,9,"launch, subtlety, showroom, eighteenth, fragile, experimentation, tail, function, marriage, coin, path, parachute, shop, flea, bare"
2001,0,"exceptional, supple, reminiscent, pearl, convincing, page, responsible, end, promising, purpose, guard, felted, modest, eastern, inevitable"
2001,1,"shock, backless, sparkle, piqué, run, elbow, sister, legacy, string, center, maker, glorious, innocence, quintessential, commitment"
2001,2,"tip, bangle, height, hoop, iridescent, floppy, mesh, ring, salon, potential, pure, gal, nail, trade, zone"
2001,3,"bust, singer, sable, talk, dose, odd, insider, allure, spanish, pirate, weave, multicolor, layering, innovative, card"
2001,4,"intention, sinuous, taste, opportunity, beauty, brazilian, term, heady, intelligent, pristine, technical, industry, determined, magazine, beat"
2001,5,"sleeved, romance, grit, size, association, dusty, sheen, partner, tension, brass, war, hostess, legend, coral, shocking"
2001,6,"ancient, mediterranean, craft, greek, creamy, ceramic, painting, intricate, heritage, believable, tableau, neat, compliment, zebra, commentary"
2001,7,"teenage, club, cheeky, curvy, energetic, debutante, leap, rule, wedge, wrong, resort, ombré, certain, kitten, one"
2001,8,"stellar, account, opulent, frilled, grosgrain, wrist, answer, midriff, fit, grand, check, prom, distinct, epaulet, native"
2001,9,"equation, reaction, wallpaper, boho, filmy, disc, unstructured, revival, grunge, calf, thigh, drape, campaign, dream, minded"
2002,0,"ensemble, alternative, suitable, antidote, streetwear, apt, darling, precision, pleasing, ride, dip, wispy, flea, shortage, australian"
2002,1,"magazine, sumptuous, editorial, instance, musician, closing, concise, pure, middle, control, kaleidoscope, knockout, outstanding, aviator, slit"
2002,2,"familiarity, process, tube, loud, formula, core, upbeat, frayed, difference, flashy, description, production, building, bustle, womanly"
2002,3,"forceful, decision, horizontal, bedroom, typical, acid, topper, timeless, pleasure, context, death, tapestry, claim, raison, press"
2002,4,"extraordinary, partnership, surface, tail, caped, uncompromising, studio, refinement, boutique, rigorous, sinister, formality, vice, mirror, intriguing"
2002,5,"talented, collective, labor, courtesy, actual, laser, grecian, sponsor, brilliant, wise, game, theater, contemporary, tassel, scottish"
2002,6,"silly, kimono, emotion, format, wrist, finesse, beginning, incarnation, thought, border, utility, rose, strict, sugar, backpack"
2002,7,"gingham, frilled, task, glittery, triangle, sol, offer, dose, fare, cap, classical, slogan, swirl, distant, naive"
2002,8,"reflective, golden, egg, sunshine, demand, niche, argument, sunset, slipdress, ombré, flapper, boudoir, cheer, birthday, principle"
2002,9,"laden, intricate, hued, shapely, native, textile, answer, showing, womenswear, glossy, bunny, daywear, trip, prize, clutch"
2003,0,"mainstay, mainstream, natty, pull, quest, doubt, striking, rise, coup, boyish, wit, slender, substantial, secret, discipline"
2003,1,"varsity, relaxed, coincidence, puzzle, bare, bandeau, pinstriped, terrific, velour, vocabulary, cable, chenille, tribute, weekend, magic"
2003,2,"polish, gift, grass, wheel, interview, prom, disc, border, leopard, requisite, earring, award, gal, crown, magic"
2003,3,"opulent, cloud, topcoat, gilet, breasted, grommet, zebra, pelt, giraffe, ear, puffer, topper, blend, camel, dart"
2003,4,"lightning, ship, kooky, artificial, globe, extreme, function, strictness, bandage, recognizable, adventure, legacy, bat, tomboy, monochromatic"
2003,5,"account, source, snow, nomadic, stint, checkerboard, apt, horse, cha, template, race, fodder, requisite, leopard, artful"
2003,6,"victorian, folly, rosette, smooth, aim, fixation, remarkable, chief, manner, interplay, innocent, earthy, lattice, textured, sensuality"
2003,7,"outer, relevance, direct, fab, graduate, pal, venture, rule, minded, cartoon, action, silly, subtext, brain, origin"
2003,8,"hold, sell, splash, uncomplicated, camp, symbol, unusual, balanced, basket, reminiscent, guipure, cowboy, foray, toned, wood"
2003,9,"count, safari, code, devoted, hybrid, area, dense, characteristic, inspection, gamine, interested, global, capital, hued, snakeskin"
2004,0,"relief, uptown, musical, punky, association, trippy, zigzag, monochromatic, mirror, poor, natty, characteristic, venture, corsage, arty"
2004,1,"paneling, shot, buzz, cloth, sleeveless, argyle, sweetness, gauze, blank, code, appointment, deconstruction, spirited, ride, stone"
2004,2,"ambition, sugar, clingy, hell, flared, pleaser, noise, fitting, legged, transparency, focused, stud, australian, bang, attempt"
2004,3,"structured, title, pit, interpretation, adult, obi, corseted, baseball, exceptional, sculptural, sensitive, ticket, mastery, grey, alpaca"
2004,4,"compelling, relationship, knot, portion, ponchos, target, angled, echo, brain, rope, grid, spine, zip, precise, stocking"
