n,term,is_fashion,fashion_category,corpus_freq
1,jacket,True,garment,4066
1,skirt,True,garment,3892
1,print,True,style,3169
1,coat,True,garment,3102
1,leather,True,material,2979
1,white,True,color,2527
1,pant,True,garment,2172
1,silk,True,material,2159
1,short,True,garment,1930
1,gown,True,garment,1520
1,high,True,garment,1497
1,shirt,True,garment,1401
1,suit,True,garment,1277
1,lace,True,material,1270
1,shoulder,True,garment,1253
1,fur,True,material,1196
1,sleeve,True,garment,1185
1,trouser,True,garment,1156
1,chiffon,True,material,1154
1,sweater,True,garment,1113
1,blue,True,color,1080
1,wool,True,material,1028
1,waist,True,garment,951
1,pink,True,color,916
1,satin,True,material,869
1,blouse,True,garment,855
1,floral,True,style,828
1,sheer,True,style,783
1,cotton,True,material,735
1,classic,True,garment,718
1,green,True,color,691
1,collar,True,garment,654
1,bag,True,accessory,653
1,velvet,True,material,642
1,knit,True,material,633
1,belt,True,accessory,627
1,embroidery,True,style,621
1,silver,True,color,607
1,cocktail,True,occasion,601
1,shift,True,garment,597
1,tweed,True,material,595
1,graphic,True,style,592
1,hem,True,garment,575
1,hip,True,style,559
1,cashmere,True,material,554
1,knee,True,style,536
1,tulle,True,material,535
1,sequin,True,style,522
1,denim,True,material,519
1,floor,True,style,511
1,shoe,True,accessory,493
1,trench,True,garment,491
1,button,True,garment,490
1,feminine,True,style,490
1,stripe,True,style,482
1,blazer,True,garment,476
1,cardigan,True,garment,472
1,vest,True,garment,472
1,flower,True,style,467
1,yellow,True,color,454
1,pencil,True,style,453
1,organza,True,material,443
1,sporty,True,style,441
1,tank,True,garment,433
1,neckline,True,garment,432
1,suede,True,material,430
1,jean,True,garment,413
1,bow,True,style,408
1,ruffle,True,style,402
1,jumpsuit,True,garment,399
1,scarf,True,accessory,366
1,cape,True,garment,362
1,tunic,True,garment,360
1,sheath,True,garment,359
1,orange,True,color,355
1,pleat,True,style,347
1,elegant,True,style,343
1,tight,True,accessory,343
1,vintage,True,style,343
1,layer,True,style,340
1,legging,True,garment,338
1,military,True,garment,338
1,bodice,True,garment,323
1,chain,True,garment,323
1,cutout,True,style,323
1,romantic,True,style,316
1,slouchy,True,style,315
1,hat,True,accessory,313
1,mini,True,style,312
1,crepe,True,material,305
1,panel,True,garment,304
1,loose,True,style,302
1,geometric,True,style,293
1,sweatshirt,True,garment,289
1,wrap,True,garment,288
1,casual,True,style,284
1,ribbon,True,style,280
1,brocade,True,material,277
1,mesh,True,material,277
1,pocket,True,garment,276
1,tuxedo,True,garment,274
1,seam,True,garment,265
1,biker,True,garment,264
1,bomber,True,garment,264
1,purple,True,color,261
1,parka,True,garment,254
1,fit,True,style,249
1,lapel,True,garment,249
1,metal,True,material,249
1,plastic,True,material,249
