init_date,n_docs,n_present,present_cov
2001-12-31,496,3298,0.5277644423107697
2002-12-31,714,4162,0.6660265642502801
2003-12-31,936,4721,0.7554808769403104
2004-12-31,1172,5145,0.8233317330772923
2005-12-31,1454,5508,0.8814210273643783
2006-12-31,1788,5729,0.9167866858697391
2007-12-31,2209,5924,0.947991678668587
2008-12-31,2664,6046,0.967514802368379
2009-12-31,3193,6133,0.981437029924788
2010-12-31,3789,6204,0.9927988478156505
2011-12-31,4469,6235,0.9977596415426468
2012-12-31,5224,6247,0.9996799487918067
2013-12-31,6042,6249,1.0
2014-12-31,6501,6249,1.0
