verb,count
have,4785
be,4772
make,4585
look,3895
say,3226
wear,3052
come,2917
do,2517
go,2205
show,2178
take,2152
see,1985
get,1594
feel,1551
work,1528
cut,1446
seem,1435
give,1398
want,1396
inspire,1246
use,1210
know,1087
turn,1075
include,1022
find,975
put,960
add,937
think,883
pair,822
create,813
play,809
drape,807
keep,794
knit,787
print,774
call,741
embroider,737
open,734
start,734
explain,689
design,661
mean,649
set,634
feature,616
become,589
tailor,587
leave,573
bring,552
fit,545
follow,542
dress,529
appear,513
love,505
stand,502
send,479
need,479
trim,477
move,475
offer,446
like,433
cover,432
build,428
grow,421
prove,420
run,419
begin,407
read,398
try,390
match,382
crop,374
fall,368
walk,367
close,367
let,364
hit,360
layer,354
suggest,348
pull,347
mix,342
present,342
wrap,336
strip,335
continue,332
focus,332
bead,329
top,329
reveal,325
waiste,321
produce,318
color,318
describe,317
shape,311
imagine,309
provide,306
paint,306
push,301
help,301
pick,300
end,296
base,295
hold,293
throw,290
miss,290
live,283
flare,271
tie,269
decorate,267
tell,266
carry,260
embellish,258
sound,257
develop,256
win,254
talk,252
draw,247
sell,247
tuck,246
watch,245
speak,243
choose,242
apply,240
ruffle,239
explore,238
block,237
sit,236
launch,233
happen,231
emerge,230
edge,229
line,228
sleeve,226
expect,223
serve,220
combine,220
weave,218
manage,211
break,210
mention,209
evoke,208
ask,206
bear,206
establish,205
remain,205
catch,204
belt,202
deliver,201
strike,198
lose,198
define,198
wash,194
introduce,194
translate,187
hang,187
stud,186
change,185
quilt,184
rise,183
sequine,182
consider,182
lead,180
gather,179
shoulder,177
stay,176
expose,174
meet,174
pay,173
point,173
construct,173
fly,172
dye,172
stick,170
pop,170
return,169
accessorize,169
spend,169
flow,169
echo,167
capture,167
style,165
stitch,165
emphasize,164
fill,163
visit,163
tiere,163
shearle,159
reflect,159
decide,156
buy,156
check,156
piece,156
trail,156
reference,156
float,155
mind,154
cinch,153
raise,152
form,151
hug,150
expand,150
pattern,149
rib,148
elongate,148
aim,146
celebrate,146
fringe,146
name,145
lay,144
appeal,142
achieve,141
finish,141
mark,141
allow,141
contrast,141
influence,139
incorporate,139
blow,139
accord,136
post,136
drive,136
note,136
forget,136
execute,133
pass,133
stop,132
suit,131
detail,131
experiment,131
drop,129
update,129
claim,127
arrive,127
resemble,127
save,126
extend,125
attach,124
roll,124
�,124
hear,124
ruche,123
fold,122
render,122
step,121
represent,121
reach,121
recall,121
slip,120
replace,119
believe,118
fade,118
wonder,117
remember,117
bond,116
borrow,115
cuff,115
pack,114
sweep,113
embrace,112
pleat,112
stretch,111
judge,111
cite,111
range,111
touch,111
bind,110
head,110
understand,110
skirt,110
shoot,109
back,108
place,107
treat,106
appreciate,106
whip,105
transform,105
face,104
sew,104
panel,104
lack,104
suspend,103
sculpt,103
channel,103
button,103
demonstrate,103
opt,102
conjure,102
hue,102
count,101
nip,101
-,101
express,101
spin,100
balance,100
graze,98
swing,98
deserve,97
insist,96
sport,96
learn,96
encrust,96
evolve,96
patchworke,95
avoid,94
riff,94
wait,93
convey,92
curve,92
travel,91
shade,91
par,90
texture,90
stag,90
toss,90
inject,89
accent,89
crochet,89
remind,89
dip,89
price,88
kick,88
shift,88
notice,87
accompany,86
recur,86
tap,86
require,86
soften,85
figure,85
pin,85
knot,85
skim,85
realize,85
deconstruct,84
plunge,84
splice,84
involve,84
tend,83
puff,83
join,82
mold,82
earn,82
seam,82
revisit,81
snap,81
craft,81
announce,81
peek,81
slash,81
maintain,81
hint,80
inset,80
enjoy,79
refine,79
clothe,79
prefer,79
display,79
intend,78
witness,78
share,78
mute,78
fray,78
cast,78
lift,78
lend,77
dangle,77
bar,77
breast,77
debut,77
oversize,77
multicolore,76
seek,75
taper,75
fuse,75
elevate,74
rely,74
promise,74
showcase,74
gild,73
write,73
pad,73
consist,73
march,73
trace,72
connect,72
slice,72
understate,72
own,72
receive,71
underscore,71
shine,71
control,71
resist,71
stamp,70
perform,70
hide,70
dot,70
abstract,70
enter,70
flutter,70
picture,69
veer,69
obsess,69
lace,69
star,68
flash,68
land,68
result,68
distract,67
collar,67
dominate,67
shirtdresse,67
billow,67
accomplish,66
guess,66
collage,66
square,66
nail,66
refer,66
compare,66
edit,65
re,65
succeed,65
elaborate,65
model,65
favor,65
declare,65
settle,65
fasten,64
jump,64
hop,64
crisscross,64
wish,64
abbreviate,63
seventie,63
mirror,63
invite,63
dance,63
sling,63
light,62
discover,62
braid,62
view,62
twist,61
score,61
approach,61
feather,61
merge,61
address,61
care,61
concentrate,61
marry,61
abandon,60
cause,60
rid,60
double,60
scatter,60
project,60
engineer,60
inform,60
derive,59
boil,59
sum,59
repeat,59
acknowledge,59
lie,59
inflect,58
neck,58
round,58
cross,58
brush,58
belong,58
exist,57
tone,57
guarantee,57
crinkle,57
confirm,57
adorn,56
burn,56
force,56
study,56
dub,56
benefit,56
recognize,55
dream,55
spot,55
please,55
rework,55
sing,55
grab,55
glitter,55
destine,54
saturate,54
attract,54
contribute,54
weigh,54
sparkle,54
interpret,54
zip,53
boast,53
tweak,53
indulge,53
steer,53
felt,52
lighten,52
title,52
shrug,52
lean,52
filter,52
prevail,52
admit,52
heel,52
compose,51
matter,51
trade,51
swirl,51
pile,51
hone,51
smile,51
team,51
frame,51
relate,51
stack,50
struggle,50
gown,50
shake,50
spell,50
graduate,50
perforate,50
explode,50
found,49
hem,49
strew,49
up,49
emblazon,49
handle,49
highlight,49
train,49
separate,49
challenge,49
enhance,48
die,48
pose,48
reinterpret,48
progress,48
overlay,48
shrink,48
ground,48
reappear,47
dazzle,47
shop,47
increase,47
skip,47
coat,47
integrate,46
streamline,46
hire,46
split,46
yield,46
oppose,46
reinforce,46
scallop,46
scale,46
associate,45
patch,45
attend,45
parade,45
subdue,45
greet,44
collaborate,44
cascade,44
spill,44
relax,44
absorb,44
manipulate,44
skew,44
bejewel,44
splash,44
pip,44
shred,44
surround,44
buckle,44
carve,44
band,44
jewel,44
veil,43
anchor,43
infuse,43
circle,43
mimic,43
thank,43
loosen,43
escape,43
gain,43
ring,42
demand,42
complete,42
eat,42
press,42
plan,42
hope,42
support,42
propose,42
limit,42
perch,41
insert,41
theme,41
divide,41
articulate,41
nod,41
mine,41
rock,41
temper,41
argue,41
hurt,41
report,41
flounce,41
generate,40
burst,40
morph,40
vary,40
comprise,40
owe,40
beat,40
obscure,40
suede,40
disappoint,40
stalk,40
scream,40
linger,40
act,40
assure,40
listen,39
frille,39
punctuate,39
employ,39
revive,39
drag,39
attenuate,39
rule,39
stray,39
assemble,39
tower,38
ignore,38
ensure,38
photograph,38
sprout,38
contain,38
lacquer,38
shimmer,38
retain,38
attempt,38
complement,37
loop,37
embody,37
crave,37
fashion,37
flip,37
source,37
engage,37
deny,37
tip,37
glow,37
deal,37
distinguish,37
knock,37
sole,37
punch,37
tweed,37
rip,37
stock,36
venture,36
strap,36
worry,36
scoop,36
stuff,36
polish,36
laugh,36
string,36
juxtapose,36
revolve,36
click,36
perfect,36
tear,36
stain,36
qualify,36
devote,36
smother,36
sign,36
bloom,36
remove,35
intersperse,35
convince,35
dare,35
indicate,35
assume,35
structure,35
adapt,35
clash,35
short,35
descend,35
search,35
welcome,35
ripple,35
emboss,35
reinvent,35
sprinkle,35
sense,35
spark,35
resonate,35
shin,34
compete,34
mismatch,34
uptown,34
blossom,34
shirr,34
guide,34
accentuate,34
admire,34
sharpen,34
blend,34
satisfy,34
gleam,34
slit,34
brim,34
corset,33
suffer,33
stride,33
hew,33
reprise,33
restrain,33
advance,33
err,33
suppose,33
switch,33
stomp,33
reconfigure,33
dedicate,33
flatter,33
peel,33
blame,33
communicate,32
retro,32
crush,32
toy,32
swathe,32
tick,32
depend,32
trick,32
pluck,32
illustrate,32
agree,32
modernize,32
load,32
arrange,32
thread,32
acquire,32
invert,32
strut,32
disappear,32
swoop,31
heighten,31
fail,31
duplicate,31
trot,31
outfit,31
spread,31
respond,31
chalk,31
fight,31
kill,31
underline,31
refresh,31
signal,31
encourage,31
collect,31
state,31
identify,31
teach,31
ting,30
laminate,30
hand,30
center,30
pursue,30
adore,30
lavish,30
rest,30
dig,30
wander,30
shear,30
drawstre,30
steal,30
conceive,30
cheer,30
cling,30
delve,30
border,30
swingy,29
dash,29
hammer,29
stumble,29
